,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
50,02M135,The Urban Assembly School for Emergency Management,High school,2.0,3,3,3,3,3,3,3,44,3,3,0,3,3,3
51,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High school,2.0,3,3,3,3,3,3,3,15,3,3,0,3,3,3
52,02M150,P.S. 150,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
53,02M151,Yorkville Community School,Elementary,2.0,3,3,3,3,3,3,3,3,51,3,0,3,3,3
54,02M158,P.S. 158 Bayard Taylor,Elementary,2.0,3,3,3,3,3,3,3,0,7,0,0,3,3,3
55,02M167,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,42,63,11,0,3,3,10
56,02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,3,3,0,0,3,3,3
57,02M183,P.S. 183 Robert L. Stevenson,Elementary,2.0,3,3,3,3,3,3,3,3,13,3,0,3,3,3
58,02M198,P.S. 198 Isador E. Ida Straus,Elementary,2.0,3,3,3,3,3,3,3,10,42,0,0,3,3,3
59,02M212,P.S. 212 Midtown West,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
60,02M217,P.S./I.S. 217 Roosevelt Island,K-8,2.0,3,3,3,3,3,3,3,14,33,0,0,3,3,3
61,02M225,Ella Baker School,K-8,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
62,02M234,P.S. 234 Independence School,Elementary,2.0,3,3,3,3,3,3,3,3,14,3,0,3,3,3
63,02M255,M.S. 255 Salk School of Science,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,6,3,3,0,3,3,3
64,02M260,The Clinton School,Secondary School,2.0,3,3,3,3,3,3,3,3,0,3,0,3,3,3
65,02M267,"East Side Elementary School, PS 267",Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
66,02M276,Battery Park City School,K-8,2.0,3,3,3,3,3,3,3,3,12,3,0,3,3,3
67,02M280,Manhattan Early College School for Advertising,High school,2.0,3,3,3,3,3,3,3,56,241,7,0,3,3,3
68,02M281,The River School,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
69,02M282,Urban Assembly Maker Academy,High school,2.0,3,3,3,3,3,3,3,20,3,3,0,3,3,3
70,02M288,Food and Finance High School,High school,2.0,3,3,3,3,3,3,3,50,3,3,0,3,3,3
71,02M289,I.S. 289,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,8,3,3,0,3,3,3
72,02M290,P.S. 290 Manhattan New School,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
73,02M294,Essex Street Academy,High school,2.0,3,3,3,3,3,3,3,8,0,0,0,3,3,3
74,02M296,High School of Hospitality Management,High school,2.0,3,3,3,3,3,3,3,105,12,7,0,3,3,3
75,02M297,M.S. 297,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,15,0,7,0,3,3,3
76,02M298,Pace High School,High school,2.0,3,3,3,3,3,3,3,32,3,3,0,3,3,3
77,02M300,"Urban Assembly School of Design and Construction,",High school,2.0,3,3,3,3,3,3,3,59,3,3,0,3,3,3
78,02M303,"Facing History School, The",High school,2.0,3,3,3,3,3,3,3,21,6,11,0,3,3,6
79,02M305,"Urban Assembly Academy of Government and Law, The",High school,2.0,3,3,3,3,3,3,3,52,6,8,0,3,3,3
80,02M308,Lower Manhattan Arts Academy,High school,2.0,3,3,3,3,3,3,3,69,3,3,0,3,3,3
81,02M312,New York City Lab Middle School for Collaborative,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,9,3,3,0,3,3,3
82,02M313,"James Baldwin School, The: A School for Expedition",High school,2.0,3,3,3,3,3,3,3,12,3,3,0,3,3,3
83,02M316,"Urban Assembly School of Business for Young Women,",High school,2.0,3,3,3,3,3,3,3,18,3,3,0,3,3,3
84,02M340,Sixth Avenue Elementary School,Elementary,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
85,02M343,The Peck Slip School,Elementary,2.0,3,3,3,3,3,3,3,0,6,0,0,3,3,3
86,02M347,The 47 American Sign Language & English Lower Scho,K-8,2.0,3,3,3,3,3,3,3,3,3,0,0,3,3,3
87,02M374,Gramercy Arts High School,High school,2.0,3,3,3,3,3,3,3,61,3,3,0,3,3,3
88,02M376,NYC iSchool,High school,2.0,3,3,3,3,3,3,3,18,3,3,0,3,3,3
89,02M392,Manhattan Business Academy,High school,2.0,3,3,3,3,3,3,3,37,0,14,0,3,3,6
90,02M393,Business Of Sports School,High school,2.0,3,3,3,3,3,3,3,64,3,3,0,3,3,3
91,02M394,Emma Lazarus High School,High school,2.0,3,3,3,3,3,3,3,3,3,0,0,3,3,3
92,02M397,Spruce Street School,K-8,2.0,3,3,3,3,3,3,3,3,3,0,0,3,3,3
93,02M399,The High School For Language And Diplomacy,High school,2.0,3,3,3,3,3,3,3,14,0,13,0,3,3,3
94,02M400,High School for Environmental Studies,High school,2.0,3,3,3,3,3,3,3,56,3,3,0,3,3,6
95,02M407,Institute for Collaborative Education,Secondary School,2.0,3,3,3,3,3,3,3,3,0,3,0,3,3,3
96,02M408,Professional Performing Arts High School,Secondary School,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
97,02M411,Baruch College Campus High School,High school,2.0,3,3,3,3,3,3,3,7,3,3,0,3,3,3
98,02M412,N.Y.C. Lab School for Collaborative Studies,High school,2.0,3,3,3,3,3,3,3,3,0,3,0,3,3,3
99,02M413,School of the Future High School,Secondary School,2.0,3,3,3,3,3,3,3,43,17,6,0,3,3,3
100,02M414,N.Y.C. Museum School,High school,2.0,3,3,3,3,3,3,3,19,3,3,0,3,3,3
101,02M416,Eleanor Roosevelt High School,High school,2.0,3,3,3,3,3,3,3,7,3,3,0,3,3,3
102,02M418,Millennium High School,High school,2.0,3,3,3,3,3,3,3,15,3,3,0,3,3,3
103,02M419,Landmark High School,High school,2.0,3,3,3,3,3,3,3,8,0,6,0,3,3,3
104,02M420,High School for Health Professions and Human Servi,High school,2.0,3,3,3,6,3,3,3,41,3,3,0,3,3,7
105,02M422,Quest to Learn,Secondary School,2.0,3,3,3,3,3,3,3,30,0,42,0,3,3,9
106,02M425,Leadership and Public Service High School,High school,2.0,3,3,3,3,3,3,3,9,0,13,0,3,3,3
107,02M427,Manhattan Academy For Arts & Language,High school,2.0,3,3,3,3,3,3,3,7,3,3,0,3,3,3
108,02M432,Murray Hill Academy,High school,2.0,3,3,3,3,3,3,3,32,3,3,0,3,3,3
109,02M437,Hudson High School of Learning Technologies,High school,2.0,3,3,8,3,3,3,3,32,9,15,0,3,3,9
110,02M438,International High School at Union Square,High school,2.0,3,3,3,3,3,3,3,7,0,0,0,3,3,3
111,02M439,Manhattan Village Academy,High school,2.0,3,3,3,3,3,3,3,3,15,3,0,3,3,3
112,02M442,"Ballet Tech, NYC Public School for Dance",K-8,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
113,02M449,Vanguard High School,High school,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
114,02M459,Manhattan International High School,High school,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
115,02M473,Washington Irving Yabc,High school,79.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
116,02M475,Stuyvesant High School,High school,2.0,3,3,3,3,3,3,3,25,0,8,0,3,3,3
117,02M489,High School of Economics and Finance,High school,2.0,3,3,3,3,3,3,3,6,0,7,0,3,3,3
118,02M500,Unity Center for Urban Technologies,High school,2.0,3,3,3,3,3,3,3,3,3,6,0,3,3,3
119,02M507,Urban Assembly Gateway School for Technology,High school,2.0,3,3,3,3,3,3,3,12,3,3,0,3,3,3
120,02M519,Talent Unlimited High School,High school,2.0,3,3,3,3,3,3,3,16,0,7,0,3,3,3
121,02M520,Murry Bergtraum High School for Business Careers,High school,2.0,3,3,3,3,3,3,3,53,3,3,0,3,3,3
122,02M527,P.S. 527 - East Side School for Social Action,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
123,02M529,Jacqueline Kennedy Onassis High School,High school,2.0,3,3,3,11,3,3,3,42,8,33,0,3,3,17
124,02M531,Repertory Company High School for Theatre Arts,High school,2.0,3,3,3,3,3,3,3,18,3,3,0,3,3,3
125,02M533,Union Square Academy for Health Sciences,High school,2.0,3,3,3,3,3,3,3,25,3,3,0,3,3,3
126,02M534,Harvest Collegiate High School,High school,2.0,3,3,3,3,3,3,3,17,3,3,0,3,3,3
127,02M542,Manhattan Bridges High School,High school,2.0,3,3,3,3,3,3,3,11,3,3,0,3,3,3
