DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted,school_year
02M089,P.S. 89,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M104,J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,8,3,6,0,0,0,0,2020_2019
02M111,P.S. 111 Adolph S. Ochs,Elementary,2.0,0,0,0,0,0,0,0,3,21,3,0,0,0,0,2020_2019
02M114,East Side Middle School,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
02M116,P.S. 116 Mary Lindley Murray,Elementary,2.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2020_2019
02M124,P.S. 124 Yung Wing,Elementary,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
02M126,P.S. 126 Jacob August Riis,K-8,2.0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,2020_2019
02M130,P.S. 130 Hernando De Soto,Elementary,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
02M131,M.S. 131,Junior High-Intermediate-Middle,2.0,0,3,3,0,0,0,0,3,3,3,0,0,3,3,2020_2019
02M135,The Urban Assembly School for Emergency Management,High school,2.0,0,0,3,3,0,0,0,24,30,3,0,0,3,3,2020_2019
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High school,2.0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,2020_2019
02M150,P.S. 150,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M151,Yorkville Community School,Elementary,2.0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,2020_2019
02M158,P.S. 158 Bayard Taylor,Elementary,2.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2020_2019
02M167,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,2.0,0,0,3,3,0,0,3,52,169,3,0,3,3,8,2020_2019
02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,2020_2019
02M183,P.S. 183 Robert L. Stevenson,Elementary,2.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2020_2019
02M198,P.S. 198 Isador E. Ida Straus,Elementary,2.0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,2020_2019
02M212,P.S. 212 Midtown West,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M217,P.S./I.S. 217 Roosevelt Island,K-8,2.0,0,0,3,3,0,0,0,3,3,3,0,3,3,3,2020_2019
02M225,Ella Baker School,K-8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M234,P.S. 234 Independence School,Elementary,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
02M255,M.S. 255 Salk School of Science,Junior High-Intermediate-Middle,2.0,0,3,0,0,0,0,0,3,3,3,0,3,0,3,2020_2019
02M260,The Clinton School,Secondary School,2.0,0,3,0,3,0,0,3,9,0,3,0,0,3,3,2020_2019
02M267,"East Side Elementary School, PS 267",Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M276,Battery Park City School,K-8,2.0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,2020_2019
02M280,Manhattan Early College School for Advertising,High school,2.0,3,3,0,3,0,0,0,35,67,3,0,3,3,3,2020_2019
02M281,The River School,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M282,Urban Assembly Maker Academy,High school,2.0,0,0,0,3,0,0,0,17,3,3,0,0,3,3,2020_2019
02M288,Food and Finance High School,High school,2.0,0,0,3,3,0,0,0,35,0,3,0,3,3,3,2020_2019
02M289,I.S. 289,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
02M290,P.S. 290 Manhattan New School,Elementary,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M294,Essex Street Academy,High school,2.0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2020_2019
02M296,High School of Hospitality Management,High school,2.0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,2020_2019
02M297,M.S. 297,Junior High-Intermediate-Middle,2.0,0,0,3,3,0,0,0,18,8,10,0,3,0,3,2020_2019
02M298,Pace High School,High school,2.0,0,0,3,3,0,0,0,20,24,6,0,3,3,6,2020_2019
02M300,"Urban Assembly School of Design and Construction,",High school,2.0,0,0,0,0,0,0,0,27,0,3,0,0,0,0,2020_2019
02M303,"Facing History School, The",High school,2.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2020_2019
02M305,"Urban Assembly Academy of Government and Law, The",High school,2.0,0,0,3,3,0,0,0,51,0,3,0,3,3,3,2020_2019
02M308,Lower Manhattan Arts Academy,High school,2.0,0,0,0,0,0,0,0,12,3,3,0,0,0,0,2020_2019
02M312,New York City Lab Middle School for Collaborative,Junior High-Intermediate-Middle,2.0,0,0,0,3,3,0,0,3,8,0,0,0,3,3,2020_2019
02M313,"James Baldwin School, The: A School for Expedition",High school,2.0,0,0,3,0,0,0,0,3,0,3,0,3,0,3,2020_2019
02M316,"Urban Assembly School of Business for Young Women,",High school,2.0,0,0,3,0,0,0,0,17,0,12,0,3,0,3,2020_2019
02M340,Sixth Avenue Elementary School,Elementary,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
02M343,The Peck Slip School,Elementary,2.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2020_2019
02M347,The 47 American Sign Language & English Lower Scho,K-8,2.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2020_2019
02M374,Gramercy Arts High School,High school,2.0,0,0,0,3,0,0,0,12,0,0,0,0,3,3,2020_2019
02M376,NYC iSchool,High school,2.0,0,3,3,0,0,0,0,6,3,3,0,0,3,3,2020_2019
02M392,Manhattan Business Academy,High school,2.0,0,0,3,0,0,0,0,47,3,3,0,3,0,3,2020_2019
02M393,Business Of Sports School,High school,2.0,0,0,3,3,0,0,0,34,0,10,0,3,3,6,2020_2019
02M394,Emma Lazarus High School,High school,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M397,Spruce Street School,K-8,2.0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,2020_2019
02M399,The High School For Language And Diplomacy,High school,2.0,0,0,3,3,0,0,0,3,3,17,0,3,3,3,2020_2019
02M400,High School for Environmental Studies,High school,2.0,0,0,3,3,0,0,0,39,0,18,0,0,3,3,2020_2019
02M407,Institute for Collaborative Education,Secondary School,2.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2020_2019
02M408,Professional Performing Arts High School,Secondary School,2.0,0,0,3,0,0,0,0,7,0,3,0,3,0,3,2020_2019
02M411,Baruch College Campus High School,High school,2.0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2020_2019
02M412,N.Y.C. Lab School for Collaborative Studies,High school,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
02M413,School of the Future High School,Secondary School,2.0,0,0,0,0,0,0,3,20,0,3,0,0,3,3,2020_2019
02M414,N.Y.C. Museum School,High school,2.0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,2020_2019
02M416,Eleanor Roosevelt High School,High school,2.0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,2020_2019
02M418,Millennium High School,High school,2.0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2020_2019
02M419,Landmark High School,High school,2.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2020_2019
02M420,High School for Health Professions and Human Servi,High school,2.0,0,0,3,3,0,0,3,28,3,3,0,3,0,3,2020_2019
02M422,Quest to Learn,Secondary School,2.0,0,0,0,3,0,0,0,27,0,21,0,0,3,3,2020_2019
02M425,Leadership and Public Service High School,High school,2.0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,2020_2019
02M427,Manhattan Academy For Arts & Language,High school,2.0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2020_2019
02M432,Murray Hill Academy,High school,2.0,0,0,0,0,0,3,0,3,3,3,0,0,3,3,2020_2019
02M437,Hudson High School of Learning Technologies,High school,2.0,3,0,3,3,0,0,0,29,3,12,0,0,3,3,2020_2019
02M438,International High School at Union Square,High school,2.0,0,0,0,3,0,0,0,3,3,0,0,0,3,3,2020_2019
02M439,Manhattan Village Academy,High school,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M442,"Ballet Tech, NYC Public School for Dance",K-8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M449,Vanguard High School,High school,2.0,0,0,3,3,0,3,0,6,0,11,0,3,3,9,2020_2019
02M459,Manhattan International High School,High school,2.0,0,0,0,3,0,0,0,3,0,3,0,0,3,3,2020_2019
02M475,Stuyvesant High School,High school,2.0,0,0,0,0,3,0,0,13,0,8,0,0,3,3,2020_2019
02M489,High School of Economics and Finance,High school,2.0,3,0,3,0,0,0,3,3,0,6,0,3,3,3,2020_2019
02M500,Unity Center for Urban Technologies,High school,2.0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,2020_2019
02M507,Urban Assembly Gateway School for Technology,High school,2.0,0,0,3,3,0,0,3,11,3,3,0,0,3,3,2020_2019
02M519,Talent Unlimited High School,High school,2.0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,2020_2019
02M520,Murry Bergtraum High School for Business Careers,High school,2.0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2020_2019
02M527,P.S. 527 - East Side School for Social Action,Elementary,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
02M529,Jacqueline Kennedy Onassis High School,High school,2.0,0,0,6,3,0,0,3,10,3,8,0,3,3,9,2020_2019
02M531,Repertory Company High School for Theatre Arts,High school,2.0,0,0,0,3,0,0,0,3,3,0,0,3,0,3,2020_2019
02M533,Union Square Academy for Health Sciences,High school,2.0,0,0,0,0,0,0,3,18,0,0,0,0,3,3,2020_2019
02M534,Harvest Collegiate High School,High school,2.0,0,0,3,0,0,0,0,19,3,3,0,3,3,3,2020_2019
02M542,Manhattan Bridges High School,High school,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
02M543,New Design High School,High school,2.0,0,0,3,0,0,0,0,19,0,11,0,0,3,3,2020_2019
02M544,Independence High School,High school,2.0,0,0,3,3,0,0,3,15,0,3,0,0,7,7,2020_2019
02M545,High School for Dual Language and Asian Studies,High school,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M546,Academy for Software Engineering,High school,2.0,0,0,0,0,0,0,0,20,3,3,0,0,0,0,2020_2019
02M550,Liberty High School Academy for Newcomers,High school,2.0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2020_2019
02M551,Urban Assembly New York Harbor School,High school,2.0,0,0,0,0,0,0,0,30,3,3,0,0,0,0,2020_2019
02M560,High School M560 - City As School,High school,2.0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,2020_2019
02M565,Urban Academy Laboratory High School,High school,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M570,Satellite Academy High School,High school,2.0,0,0,3,0,0,0,0,3,0,3,0,0,3,3,2020_2019
02M575,Manhattan Comprehensive Night and Day High School,High school,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
02M580,Richard R. Green High School of Teaching,High school,2.0,0,0,3,0,0,0,0,3,0,6,0,0,3,3,2020_2019
02M586,Harvey Milk High School,High school,2.0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2020_2019
02M600,The High School of Fashion Industries,High school,2.0,0,0,3,3,0,0,0,13,0,3,0,3,3,3,2020_2019
02M605,Humanities Preparatory Academy,High school,2.0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,2020_2019
02M615,Chelsea Career and Technical Education High School,High school,2.0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2020_2019
02M630,Art and Design High School,High school,2.0,0,0,0,3,0,0,0,3,0,3,0,0,3,3,2020_2019
02M655,Life Sciences Secondary School,High school,2.0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2020_2019
02M893,Jacob Riis School,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M896,Lower Manhattan Community Middle School,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
02M902,Washington Irving Evng Hs T/R @NTHS,Ungraded,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
02M933,City Knoll Middle School,Junior High-Intermediate-Middle,2.0,0,0,0,3,0,0,0,20,3,12,0,0,3,3,2020_2019
02M972,Office of Academic Policy,Central-HQ-Citywide,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
03M009,P.S. 009 Sarah Anderson,Elementary,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
03M054,J.H.S. 054 Booker T. Washington,Junior High-Intermediate-Middle,3.0,0,0,3,0,0,0,0,17,3,3,0,0,3,3,2020_2019
03M075,P.S. 075 Emily Dickinson,Elementary,3.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
03M076,P.S. 076 A. Philip Randolph,K-8,3.0,0,0,0,0,0,0,0,14,19,16,0,0,0,0,2020_2019
03M084,P.S. 084 Lillian Weber,Elementary,3.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2020_2019
03M087,P.S. 087 William Sherman,Elementary,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
03M145,"P.S. 145, The Bloomingdale School",Elementary,3.0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,2020_2019
03M149,P.S. 149 Sojourner Truth,K-8,3.0,0,0,3,0,0,0,0,3,3,3,0,3,3,3,2020_2019
03M163,P.S. 163 Alfred E. Smith,Elementary,3.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2020_2019
03M165,P.S. 165 Robert E. Simon,Elementary,3.0,0,0,0,3,0,0,0,3,12,0,0,0,3,3,2020_2019
03M166,P.S. 166 The Richard Rodgers School of The Arts an,Elementary,3.0,0,0,3,0,0,0,0,3,6,0,0,3,0,3,2020_2019
03M180,P.S. 180 Hugo Newman,K-8,3.0,0,0,0,0,0,0,0,3,7,13,0,0,0,0,2020_2019
03M185,The Locke School of Arts and Engineering,Elementary,3.0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,2020_2019
03M191,The Riverside School for Makers and Artists,K-8,3.0,0,0,3,0,0,0,0,3,3,3,0,0,3,3,2020_2019
03M199,P.S. 199 Jessie Isador Straus,Elementary,3.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2020_2019
03M241,STEM Institute of Manhattan,Elementary,3.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
03M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,3.0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,2020_2019
03M243,M.S. 243 Center School,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
03M245,M.S. M245 The Computer School,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2020_2019
03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2020_2019
03M250,M.S. 250 West Side Collaborative Middle School,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,34,3,11,0,0,0,0,2020_2019
03M256,Lafayette Academy,Junior High-Intermediate-Middle,3.0,0,0,3,3,0,0,0,9,10,3,0,3,0,3,2020_2019
03M258,Community Action School - MS 258,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,14,14,3,0,0,0,0,2020_2019
03M291,West End Secondary School,Secondary School,3.0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,2020_2019
03M299,The Maxine Greene HS for Imaginative Inquiry,High school,3.0,0,0,0,3,0,3,0,41,13,3,0,3,3,3,2020_2019
03M307,"Urban Assembly School for Media Studies, The",High school,3.0,0,0,3,3,0,0,0,29,0,3,0,3,3,3,2020_2019
03M333,P.S. 333 Manhattan School for Children,K-8,3.0,0,0,0,3,0,0,0,3,3,3,0,0,3,3,2020_2019
03M334,The Anderson School,K-8,3.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
03M402,The Urban Assembly School for Green Careers,High school,3.0,0,0,3,3,0,0,0,36,36,13,0,3,3,6,2020_2019
03M403,The Global Learning Collaborative,High school,3.0,0,0,3,3,0,0,0,3,3,3,0,3,3,3,2020_2019
03M404,Innovation Diploma Plus,High school,3.0,0,0,3,3,0,0,0,23,6,6,0,3,3,3,2020_2019
03M415,Wadleigh Secondary School for the Performing & Vis,Secondary School,3.0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,2020_2019
03M417,Frank McCourt High School,High school,3.0,0,0,0,3,0,0,0,3,3,3,0,3,0,3,2020_2019
03M421,West Prep Academy,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,2020_2019
03M452,P.S. 452,Elementary,3.0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,2020_2019
03M479,Beacon High School,High school,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
03M485,Fiorello H. LaGuardia High School of Music & Art a,High school,3.0,0,0,0,0,0,0,3,6,0,3,0,3,3,3,2020_2019
03M492,"High School for Law, Advocacy and Community Justic",High school,3.0,0,0,0,0,0,0,3,15,0,3,0,0,3,3,2020_2019
03M494,High School of Arts and Technology,High school,3.0,0,0,3,3,0,0,0,33,3,3,0,3,3,3,2020_2019
03M505,Edward A. Reynolds West Side High School,High school,3.0,0,0,7,15,0,0,0,13,3,17,0,8,14,22,2020_2019
03M541,Manhattan / Hunter Science High School,High school,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
03M859,Special Music School,K-12 all grades,3.0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,2020_2019
03M860,Frederick Douglass Academy II Secondary School,Secondary School,3.0,0,0,3,0,0,0,0,15,3,15,0,3,0,3,2020_2019
03M862,Mott Hall II,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,2020_2019
04M007,P.S. 007 Samuel Stern,K-8,4.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2020_2019
04M012,Tag Young Scholars,K-8,4.0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,2020_2019
04M037,River East Elementary,Elementary,4.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2020_2019
04M038,P.S. 38 Roberto Clemente,Elementary,4.0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,2020_2019
04M057,James Weldon Johnson,K-8,4.0,0,0,3,3,0,0,0,6,6,3,0,0,3,3,2020_2019
04M072,The Lexington Academy,K-8,4.0,0,0,0,3,0,0,0,3,3,3,0,0,3,3,2020_2019
04M083,P.S. 083 Luis Munoz Rivera,Elementary,4.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2020_2019
04M096,P.S. 096 Joseph Lanzetta,K-8,4.0,0,0,0,0,0,0,0,3,12,3,0,0,0,0,2020_2019
04M102,P.S. 102 Jacques Cartier,Elementary,4.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2020_2019
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,4.0,0,0,0,3,0,0,0,9,16,8,0,0,3,3,2020_2019
04M112,P.S. 112 Jose Celso Barbosa,Early Childhood,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
04M146,P.S. 146 Ann M. Short,Elementary,4.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2020_2019
04M155,P.S. 155 William Paca,Elementary,4.0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,2020_2019
04M171,P.S. 171 Patrick Henry,K-8,4.0,0,0,3,3,0,0,0,9,9,3,0,3,3,3,2020_2019
04M182,The Bilingual Bicultural School,Elementary,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
04M206,P.S. 206 Jose Celso Barbosa,K-8,4.0,0,0,0,0,0,0,0,3,3,18,0,0,0,0,2020_2019
04M224,M.S. 224 Manhattan East School for Arts & Academic,Junior High-Intermediate-Middle,4.0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,2020_2019
04M310,The Judith S. Kaye School,High school,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020_2019
04M372,Esperanza Preparatory Academy,Secondary School,4.0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,2020_2019
04M375,Mosaic Preparatory Academy,Elementary,4.0,0,0,0,0,0,0,0,10,21,3,0,0,0,0,2020_2019
04M377,Renaissance School of the Arts,Junior High-Intermediate-Middle,4.0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,2020_2019
04M435,Manhattan Center for Science and Mathematics,High school,4.0,0,0,3,3,0,0,0,11,0,0,0,3,3,3,2020_2019
04M495,Park East High School,High school,4.0,0,0,0,3,0,0,0,3,0,3,0,3,0,3,2020_2019
04M497,Central Park East I,Elementary,4.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2020_2019
04M555,Central Park East High School,High school,4.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2020_2019
04M610,Young Women's Leadership School,Secondary School,4.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2020_2019
04M680,"Heritage School, The",High school,4.0,0,0,3,3,0,0,0,51,3,6,0,3,3,3,2020_2019
