,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
50,02M281,The River School,Elementary,2.0,3,3,3,3,3,3,3,22,0,3,0,3,3,0
51,02M282,Urban Assembly Maker Academy,High school,2.0,3,3,3,3,3,3,3,29,18,15,0,3,3,0
52,02M290,P.S. 290 Manhattan New School,Elementary,2.0,3,3,3,3,3,3,3,15,3,3,0,3,3,0
53,02M297,M.S. 297,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
54,02M340,Sixth Avenue Elementary School,Elementary,2.0,3,3,3,3,3,3,3,6,44,3,0,3,3,0
55,02M343,The Peck Slip School,Elementary,2.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
56,02M347,The 47 American Sign Language & English Lower Scho,K-8,2.0,3,3,3,3,3,3,3,29,44,3,0,3,3,0
57,02M391,District 2 Pre-K Center,District Pre-K Center,2.0,3,3,3,3,3,3,3,10,3,0,0,3,3,0
58,02M394,Emma Lazarus High School,High school,2.0,3,3,3,3,3,3,3,3,3,0,0,3,3,0
59,02M397,Spruce Street School,K-8,2.0,3,3,3,3,3,3,3,3,34,0,0,3,3,0
60,02M407,Institute for Collaborative Education,Secondary School,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
61,02M408,Professional Performing Arts High School,Secondary School,2.0,3,3,3,3,3,3,3,0,25,0,0,3,3,0
62,02M411,Baruch College Campus High School,High school,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
