,DBN,school_name,school_category,district_code,american_indian_or_alaskan_native,asian,black,hispanic,white,multi_racial,unknown,total_students_with_two_or_more_removals_suspensions
0,01M015,P.S. 015 Roberto Clemente,elementary,1,3,3,3,3,3,3,3,3
1,01M019,P.S. 019 Asher Levy,elementary,1,3,3,3,3,3,3,3,3
2,01M020,P.S. 020 Anna Silver,elementary,1,3,3,3,3,3,3,3,3
3,01M034,P.S. 034 Franklin D. Roosevelt,k-8,1,3,3,3,3,3,3,3,3
4,01M063,The STAR Academy - P.S.63,elementary,1,3,3,3,3,3,3,3,3
5,01M064,P.S. 064 Robert Simon,elementary,1,3,3,3,3,3,3,3,3
6,01M110,P.S. 110 Florence Nightingale,elementary,1,3,3,3,3,3,3,3,3
7,01M134,P.S. 134 Henrietta Szold,elementary,1,3,3,3,7,3,3,3,10
8,01M140,P.S. 140 Nathan Straus,k-8,1,3,3,3,3,3,3,3,3
9,01M142,P.S. 142 Amalia Castro,elementary,1,3,3,3,3,3,3,3,3
10,01M184,P.S. 184m Shuang Wen,k-8,1,3,3,3,3,3,3,3,3
11,01M188,P.S. 188 The Island School,k-8,1,3,3,3,3,3,3,3,6
12,01M292,Orchard Collegiate Academy,high school,1,3,3,3,3,3,3,3,3
13,01M301,"Technology, Arts, and Sciences Studio",junior high-intermediate-middle,1,3,3,3,3,3,3,3,3
14,01M315,The East Village Community School,elementary,1,3,3,3,3,3,3,3,3
15,01M332,University Neighborhood Middle School,junior high-intermediate-middle,1,3,3,3,3,3,3,3,6
16,01M361,The Children's Workshop School,elementary,1,3,3,3,3,3,3,3,3
17,01M363,Neighborhood School,elementary,1,3,3,3,3,3,3,3,3
18,01M364,Earth School,elementary,1,3,3,3,3,3,3,3,3
19,01M378,School for Global Leaders,junior high-intermediate-middle,1,3,3,3,3,3,3,3,3
20,01M448,University Neighborhood High School,high school,1,3,3,3,3,3,3,3,3
21,01M450,East Side Community School,secondary school,1,3,3,3,3,3,3,3,3
22,01M458,Forsyth Satellite Academy,high school,1,3,3,3,3,3,3,3,3
23,01M509,Marta Valle High School,high school,1,3,3,6,3,3,3,3,10
24,01M515,Lower East Side Preparatory High School,high school,1,3,3,3,3,3,3,3,3
25,01M539,"New Explorations into Science, Technology and Math",k-12 all grades,1,3,3,3,3,3,3,3,3
26,01M650,Cascades High School,high school,1,3,3,3,3,3,3,3,3
27,01M696,Bard High School Early College,high school,1,3,3,3,3,3,3,3,3
28,01M839,Tompkins Square Middle School,junior high-intermediate-middle,1,3,3,3,3,3,3,3,3
29,02M001,P.S. 001 Alfred E. Smith,elementary,2,3,3,3,3,3,3,3,3
30,02M002,P.S. 002 Meyer London,elementary,2,3,3,3,3,3,3,3,3
31,02M003,P.S. 003 Charrette School,elementary,2,3,3,3,3,3,3,3,3
