,Pct,Intervention Type,Restraints,Gender,Age,Race
0,1,Arrested,Metal,M,16.0,White
1,1,Arrested,Metal,F,18.0,Black
2,1,Arrested,Metal,F,19.0,Black
3,1,Child in Crisis,Metal,F,16.0,White Hispanic
4,1,Child in Crisis,No Restraints,F,14.0,White
5,1,Child in Crisis,No Restraints,F,15.0,White
6,1,Child in Crisis,No Restraints,M,15.0,White
7,1,Child in Crisis,No Restraints,M,15.0,East Indian
8,1,Child in Crisis,No Restraints,F,15.0,Black
9,1,Child in Crisis,No Restraints,F,16.0,White Hispanic
10,1,Child in Crisis,No Restraints,M,16.0,White
11,1,Child in Crisis,No Restraints,F,16.0,Arabic
12,1,Child in Crisis,No Restraints,F,16.0,White Hispanic
13,1,Child in Crisis,No Restraints,F,16.0,Asian/Pacific Isl.
14,1,Child in Crisis,No Restraints,F,16.0,Asian/Pacific Isl.
15,1,Child in Crisis,No Restraints,M,17.0,Asian/Pacific Isl.
16,1,Juvenile Report,No Restraints,F,15.0,Black
17,1,Juvenile Report,No Restraints,M,14.0,East Indian
18,1,Juvenile Report,No Restraints,F,15.0,Black
19,1,Juvenile Report,No Restraints,F,15.0,Black
20,1,Juvenile Report,No Restraints,F,15.0,Black
21,1,Juvenile Report,No Restraints,M,15.0,Black
22,1,Juvenile Report,No Restraints,M,15.0,Black
23,1,Juvenile Report,No Restraints,F,15.0,White
24,1,Mitigated,No Restraints,M,10.0,Black
25,1,Mitigated,No Restraints,F,15.0,Black
26,1,Mitigated,No Restraints,F,15.0,Black
27,1,Mitigated,No Restraints,F,15.0,Black
28,1,Mitigated,No Restraints,F,15.0,Black
29,1,Mitigated,No Restraints,F,16.0,Black
30,1,Mitigated,No Restraints,F,16.0,Black
31,1,Mitigated,No Restraints,F,17.0,Black
32,1,Mitigated,No Restraints,F,17.0,White Hispanic
33,1,Mitigated,No Restraints,M,44.0,Black Hispanic
34,1,Summons,Metal,F,16.0,Black
35,1,Summons,Metal,F,17.0,Black Hispanic
36,1,Summons,No Restraints,M,18.0,White Hispanic
37,1,Summons,No Restraints,M,16.0,Black
38,1,Summons,No Restraints,F,16.0,Black
39,1,Summons,No Restraints,F,16.0,Black
40,1,Summons,No Restraints,M,16.0,Black
41,1,Summons,No Restraints,M,17.0,Black
42,1,Summons,No Restraints,F,17.0,Black
43,5,Arrested,Metal,M,14.0,Black
44,5,Arrested,Metal,M,17.0,Black
45,5,Arrested,Metal,M,17.0,Black
46,5,Arrested,Metal,M,18.0,Black
47,5,Arrested,Metal,M,19.0,Black
48,5,Child in Crisis,No Restraints,M,13.0,Black Hispanic
49,5,Child in Crisis,No Restraints,F,18.0,Black
50,5,Juvenile Report,No Restraints,M,13.0,Asian/Pacific Isl.
51,5,Juvenile Report,No Restraints,M,15.0,Black
52,5,Juvenile Report,No Restraints,M,15.0,Black
53,5,Mitigated,No Restraints,M,14.0,White Hispanic
54,5,Mitigated,No Restraints,M,14.0,Asian/Pacific Isl.
55,5,PINS / Warrant,Metal,M,18.0,Black
56,6,Child in Crisis,No Restraints,M,15.0,Black
57,6,Child in Crisis,No Restraints,F,17.0,Asian/Pacific Isl.
58,7,Arrested,Metal,M,16.0,Black
59,7,Arrested,Metal,M,16.0,Black
60,7,Arrested,Metal,M,17.0,Black
61,7,Arrested,Metal,M,59.0,Black
62,7,Arrested,No Restraints,M,9.0,White Hispanic
63,7,Arrested,No Restraints,M,16.0,Black
64,7,Arrested,No Restraints,M,16.0,Black
65,7,Arrested,No Restraints,M,16.0,Black
66,7,Arrested,No Restraints,M,16.0,Black
67,7,Arrested,No Restraints,M,16.0,Black
68,7,Arrested,No Restraints,M,16.0,Black
69,7,Child in Crisis,Metal,M,13.0,Arabic
70,7,Child in Crisis,No Restraints,M,9.0,Black
71,7,Child in Crisis,No Restraints,F,15.0,White Hispanic
72,7,Child in Crisis,No Restraints,M,16.0,White Hispanic
73,7,Child in Crisis,No Restraints,M,17.0,White Hispanic
74,7,Juvenile Report,No Restraints,M,13.0,Black
75,7,Juvenile Report,No Restraints,M,15.0,White Hispanic
76,7,Mitigated,Metal,M,15.0,Black
77,7,Mitigated,No Restraints,M,9.0,Black
78,7,Mitigated,No Restraints,M,12.0,Black
79,7,Mitigated,No Restraints,M,12.0,White Hispanic
80,7,Mitigated,No Restraints,M,13.0,White Hispanic
81,7,Mitigated,No Restraints,M,13.0,Asian/Pacific Isl.
82,7,Mitigated,No Restraints,M,13.0,Black
83,7,Summons,No Restraints,M,17.0,White
84,9,Child in Crisis,Metal,M,14.0,Black
85,9,Child in Crisis,Metal,M,14.0,Black
86,9,Child in Crisis,No Restraints,M,7.0,Black Hispanic
87,9,Child in Crisis,No Restraints,M,7.0,Black Hispanic
88,9,Child in Crisis,No Restraints,M,10.0,White Hispanic
89,9,Child in Crisis,No Restraints,F,14.0,Black
90,9,Child in Crisis,No Restraints,M,14.0,Black
91,9,Child in Crisis,No Restraints,M,15.0,Black
92,9,Child in Crisis,No Restraints,F,18.0,Black
93,9,Child in Crisis,No Restraints,F,18.0,Black
94,9,Child in Crisis,No Restraints,M,19.0,White Hispanic
95,9,Child in Crisis,No Restraints,F,20.0,Black
96,9,Child in Crisis,Velcro,M,10.0,Black Hispanic
97,9,Child in Crisis,Velcro,M,10.0,White Hispanic
98,9,Juvenile Report,Metal,M,15.0,Black Hispanic
