,year,building_code,dbn,location_name,address,borough,register,major_crimes,other_crimes,non_criminal,property_crimes,violent_crimes,population_group,population_range,latitude,longitude
2829,2014-15,K874,17K340,I.S. 340,227 STERLING PLACE,K,200,0.0,0.0,2.0,0.0,0.0,2C,1-250,40.676094,-73.97038
2830,2014-15,K894,23K646,Aspirations Diploma Plus High School,1495 HERKIMER STREET,K,242,4.0,4.0,7.0,6.0,1.0,2C,1-250,40.67715,-73.903953
2831,2014-15,K902,13K266,M.S. K266 - Park Place Community Middle School,62 PARK PLACE,K,130,,,,,,2C,1-250,40.678983,-73.976497
2832,2014-15,K902,75K077,P.S. K077,62 PARK PLACE,K,289,,,,,,3C,251-500,40.678983,-73.976497
2833,2014-15,K902,,62 PARK PLACE CONSOLIDATED LOCATION,62 PARK PLACE,K,419,0.0,1.0,1.0,0.0,1.0,3C,251-500,40.678983,-73.976497
2834,2014-15,K907,17K568,Brownsville Academy High School,1150 EAST NEW YORK AVENUE,K,197,0.0,4.0,3.0,1.0,3.0,2C,1-250,40.666518,-73.924057
2835,2014-15,K909,13K499,ACORN Community High School,561 GRAND AVENUE,K,504,1.0,5.0,6.0,4.0,1.0,4C,501-750,40.678488,-73.962105
2836,2014-15,K913,32K545,EBC High School for Public Service - Bushwick,1155 DEKALB AVENUE,K,514,0.0,2.0,5.0,1.0,1.0,4C,501-750,40.694507,-73.929107
2837,2014-15,K914,13K670,Benjamin Banneker Academy,71-77 CLINTON AVENUE,K,916,1.0,6.0,8.0,3.0,1.0,5C,751-1000,40.695332,-73.969243
2838,2014-15,K971,20K971,"School of Math, Science, and Healthy Living",6214 4TH AVENUE,K,336,0.0,1.0,0.0,1.0,0.0,3C,251-500,40.639571,-74.01976
2839,2014-15,K987,16K498,Brooklyn High School for Law and Technology,1396 BROADWAY,K,596,1.0,2.0,10.0,1.0,2.0,4C,501-750,40.688831,-73.920906
2840,2014-15,K994,13K595,Bedford Academy High School,1119 BEDFORD AVENUE,K,364,0.0,0.0,0.0,0.0,0.0,3C,251-500,40.68538,-73.954302
2841,2014-15,KAGI,15K707,BROOKLYN PROSPECT CHARTER SCHOOL(BS),153 35th St.,K,,0.0,0.0,1.0,0.0,0.0,,,40.65571,-74.005197
2842,2014-15,KAQX,16K731,BROOKLYN EXCELSIOR CHARTER SCHOOL(BN),856 QUINCY STREET,K,,0.0,0.0,0.0,0.0,0.0,,,40.689842,-73.925506
2843,2014-15,KBNU,15K758,BROOKLYN URBAN GARDEN CHARTER SCHOOL (BS),500 19TH STREET,K,,0.0,0.0,0.0,0.0,0.0,,,40.656944,-73.983115
2844,2014-15,M003,02M003,P.S. 003 Charrette School,490 HUDSON STREET,M,809,0.0,2.0,0.0,1.0,1.0,5C,751-1000,40.732593,-74.006466
2845,2014-15,M004,06M004,P.S. 004 Duke Ellington,500 WEST 160 STREET,M,684,0.0,0.0,2.0,0.0,0.0,4C,501-750,40.834899,-73.941085
2846,2014-15,M005,06M005,P.S. 005 Ellen Lurie,3703 TENTH AVENUE,M,696,0.0,0.0,0.0,0.0,0.0,4C,501-750,40.85899,-73.922894
2847,2014-15,M006,02M006,P.S. 006 Lillie D. Blake,45 EAST  81 STREET,M,726,0.0,0.0,0.0,0.0,0.0,4C,501-750,40.777455,-73.960713
2848,2014-15,M007,04M007,P.S. 007 Samuel Stern,160 EAST 120 STREET,M,385,,,,,,3C,251-500,40.801007,-73.939349
2849,2014-15,M007,04M406,Global Technology Preparatory,160 EAST 120 STREET,M,177,,,,,,2C,1-250,40.801007,-73.939349
2850,2014-15,M036,05M036,P.S. 036 Margaret Douglas,123 MORNINGSIDE DRIVE,M,537,0.0,0.0,7.0,0.0,0.0,4C,501-750,40.81027,-73.957482
2851,2014-15,M007,,160 EAST 120 STREET CONSOLIDATED LOCATION,160 EAST 120 STREET,M,562,1.0,2.0,8.0,1.0,2.0,4C,501-750,40.801007,-73.939349
2852,2014-15,M008,06M008,P.S. 008 Luis Belliard,465 WEST 167 STREET,M,581,0.0,0.0,2.0,0.0,0.0,4C,501-750,40.838954,-73.936838
2853,2014-15,M009,03M009,P.S. 009 Sarah Anderson,100 WEST  84 STREET,M,658,,,,,,4C,501-750,40.785287,-73.97343
2854,2014-15,M009,03M243,M.S. 243 Center School,100 WEST  84 STREET,M,230,,,,,,2C,1-250,40.785287,-73.97343
2855,2014-15,M009,,100 WEST  84 STREET CONSOLIDATED LOCATION,100 WEST  84 STREET,M,888,0.0,0.0,0.0,0.0,0.0,5C,751-1000,40.785287,-73.97343
2856,2014-15,M010,05M499,Frederick Douglass Academy,2581 7TH AVENUE,M,1428,2.0,6.0,7.0,4.0,4.0,7C,1251-1500,40.824319,-73.93712
2857,2014-15,M011,02M011,P.S. 011 William T. Harris,320 WEST  21 STREET,M,872,0.0,0.0,0.0,0.0,0.0,5C,751-1000,40.744349,-74.000253
2858,2014-15,M013,04M013,J.H.S. 013 Jackie Robinson,1573 MADISON AVENUE,M,496,,,,,,3C,251- 500,40.793763,-73.949381
2859,2014-15,M013,04M497,Central Park East I,1573 MADISON AVENUE,M,199,,,,,,2C,1-250,40.793763,-73.949381
