,DBN,school_name,school_category,district_code,female,male,total_students_with_two_or_more_removals_suspensions
789,14K449,"Brooklyn Latin School, The",high school,14,3,3,3
790,14K454,Green School: An Academy for Environmental Careers,high school,14,3,3,3
791,14K474,PROGRESS High School for Professional Careers,high school,14,3,3,8
792,14K477,School for Legal Studies,high school,14,3,3,11
793,14K478,"The High School for Enterprise, Business and Techn",high school,14,3,3,9
794,14K488,Brooklyn Preparatory High School,high school,14,6,10,16
795,14K558,Williamsburg High School for Architecture and Desi,high school,14,3,3,19
796,14K561,Williamsburg Preparatory School,high school,14,3,3,8
797,14K577,Conselyea Preparatory School,junior high-intermediate-middle,14,3,3,3
798,14K582,M.S. 582,junior high-intermediate-middle,14,3,3,6
799,14K586,Lyons Community School,secondary school,14,3,3,3
800,14K610,Automotive High School,high school,14,3,3,6
801,14K614,Young Women's Leadership School of Brooklyn,secondary school,14,3,3,14
802,14K632,Frances Perkins Academy,high school,14,3,3,11
803,14K685,El Puente Academy for Peace and Justice,high school,14,3,3,3
804,14K923,Automotive High School Yabc,high school,14,3,3,3
805,15K001,P.S. 001 The Bergen,elementary,15,3,3,3
806,15K010,"Magnet School of Math, Science and Design Technolo",elementary,15,3,3,3
807,15K015,P.S. 015 Patrick F. Daly,elementary,15,3,3,3
808,15K024,P.S. 024,elementary,15,3,3,3
809,15K029,P.S. 029 John M. Harrigan,elementary,15,3,3,9
810,15K032,P.S. 032 Samuel Mills Sprole,elementary,15,3,3,3
811,15K038,P.S. 038 The Pacific,elementary,15,3,3,3
812,15K039,P.S. 039 Henry Bristow,elementary,15,3,3,3
813,15K051,M.S. 51 William Alexander,junior high-intermediate-middle,15,3,3,3
814,15K058,P.S. 058 The Carroll,elementary,15,3,3,3
815,15K088,J.H.S. 088 Peter Rouget,junior high-intermediate-middle,15,3,3,3
816,15K094,P.S. 094 The Henry Longfellow,elementary,15,3,3,3
817,15K107,P.S. 107 John W. Kimball,elementary,15,3,3,3
818,15K118,The Maurice Sendak Community School,elementary,15,3,3,3
819,15K124,P.S. 124 Silas B. Dutcher,elementary,15,3,3,3
820,15K130,P.S. 130 The Parkside,elementary,15,3,3,3
821,15K131,P.S. 131 Brooklyn,elementary,15,3,3,3
822,15K136,I.S. 136 Charles O. Dewey,junior high-intermediate-middle,15,3,3,3
823,15K146,P.S. 146,elementary,15,3,3,3
824,15K154,The Windsor Terrace School,elementary,15,3,3,3
825,15K169,P.S. 169 Sunset Park,elementary,15,3,3,3
826,15K172,P.S. 172 Beacon School of Excellence,elementary,15,3,3,3
827,15K230,P.S. 230 Doris L. Cohen,elementary,15,3,3,3
828,15K261,P.S. 261 Philip Livingston,elementary,15,3,3,3
829,15K295,P.S. 295,elementary,15,3,3,3
830,15K321,P.S. 321 William Penn,elementary,15,3,3,3
831,15K418,The Children's School,elementary,15,3,3,3
832,15K423,Brooklyn Frontiers High School,high school,15,10,9,19
833,15K429,Brooklyn School for Global Studies,secondary school,15,7,23,30
834,15K442,M.S. 442 Carroll Gardens School for Innovation,junior high-intermediate-middle,15,3,3,9
835,15K443,New Voices School of Academic & Creative Arts,junior high-intermediate-middle,15,3,3,3
836,15K444,Home Schooling,central-hq-citywide,15,3,3,3
837,15K447,The Math & Science Exploratory School,junior high-intermediate-middle,15,3,3,3
838,15K448,Brooklyn Secondary School for Collaborative Studie,secondary school,15,3,3,15
839,15K462,Secondary School for Law,high school,15,3,3,3
840,15K463,Secondary School for Journalism,high school,15,3,3,3
841,15K464,Park Slope Collegiate,secondary school,15,3,3,17
842,15K497,School for International Studies,secondary school,15,3,3,3
843,15K516,Sunset Park Avenues Elementary School,elementary,15,3,3,3
844,15K519,Cobble Hill School of American Studies,high school,15,3,3,7
845,15K529,West Brooklyn Community High School,high school,15,3,3,3
846,15K592,Khalil Gibran International Academy,high school,15,3,3,3
847,15K656,Brooklyn High School of the Arts,high school,15,3,3,3
848,15K667,Sunset Park High School,high school,15,6,11,17
849,15K676,Red Hook Neighborhood School,elementary,15,3,3,3
850,15K684,Millennium Brooklyn HS,high school,15,3,3,3
851,15K698,South Brooklyn Community High School,high school,15,3,3,3
852,15K767,The Little Brooklyn Pre-K Center,district pre-k center,15,3,3,3
853,15K821,Sunset Park Prep,junior high-intermediate-middle,15,3,3,15
854,15K836,Magnet Sch For Early Childhood,early childhood,15,3,3,3
855,15K839,M.S. 839,junior high-intermediate-middle,15,3,3,3
856,15K863,Pre-K Center at Bishop Ford School Site,district pre-k center,15,3,3,3
857,16K005,P.S. 005 Dr. Ronald Mcnair,elementary,16,3,3,3
858,16K021,P.S. 021 Crispus Attucks,elementary,16,3,3,3
859,16K025,P.S. 025 Eubie Blake School,elementary,16,3,3,3
860,16K026,P.S. 026 Jesse Owens,elementary,16,3,3,3
861,16K028,P.S. 028 The Warren Prep Academy,elementary,16,3,3,3
862,16K035,M.S. 035 Stephen Decatur,junior high-intermediate-middle,16,3,3,3
863,16K040,P.S. 040 George W. Carver,elementary,16,3,3,3
864,16K057,J.H.S. 057 Whitelaw Reid,junior high-intermediate-middle,16,3,3,3
865,16K081,P.S. 081 Thaddeus Stevens,elementary,16,3,3,3
866,16K243,P.S. 243K- The Weeksville School,elementary,16,3,3,3
867,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,k-8,16,3,3,3
868,16K267,"M.S. 267 Math, Science & Technology",junior high-intermediate-middle,16,3,3,11
869,16K308,P.S. 308 Clara Cardwell,k-8,16,3,3,10
870,16K309,P.S. 309 The George E. Wibecan Preparatory Academy,elementary,16,3,3,3
871,16K335,P.S. 335 Granville T. Woods,elementary,16,3,3,3
872,16K385,"School of Business, Finance and Entrepreneurship",junior high-intermediate-middle,16,3,3,3
873,16K393,Frederick Douglass Academy IV Secondary School,high school,16,3,3,3
874,16K444,Home Schooling,central-hq-citywide,16,3,3,3
875,16K455,Boys and Girls High School,high school,16,3,3,3
876,16K498,Brooklyn High School for Law and Technology,high school,16,14,13,27
877,16K534,Upper School @ P.S. 25,junior high-intermediate-middle,16,3,3,3
878,16K584,M.S. 584,junior high-intermediate-middle,16,3,3,3
879,16K594,Gotham Professional Arts Academy,high school,16,3,3,3
880,16K627,Brighter Choice Community School,elementary,16,3,3,3
881,16K628,Brooklyn Brownstone School,elementary,16,3,3,3
882,16K636,Young Scholars' Academy for Discovery and Explorat,elementary,16,3,3,3
883,16K669,Research and Service High School,high school,16,3,3,3
884,16K681,Madiba Prep Middle School,junior high-intermediate-middle,16,3,3,3
885,16K688,The Brooklyn Academy of Global Finance,high school,16,3,3,11
886,16K765,Nelson Mandela High School,high school,16,3,3,3
887,16K959,BOYS AND GIRLS YABC,high school,16,3,3,3
888,17K002,Parkside Preparatory Academy,junior high-intermediate-middle,17,7,18,25
889,17K006,P.S. 006,elementary,17,3,3,3
890,17K012,Dr. Jacqueline Peek-Davis School,elementary,17,3,3,3
891,17K061,M.S. 061 Dr. Gladstone H. Atwell,junior high-intermediate-middle,17,3,3,8
892,17K091,P.S. 091 The Albany Avenue School,elementary,17,3,3,7
893,17K092,P.S. 092 Adrian Hegeman,elementary,17,3,3,3
894,17K122,Pathways in Technology Early College High School (,high school,17,3,3,3
895,17K138,P.S. 138 Brooklyn,k-8,17,3,3,7
896,17K161,P.S. 161 The Crown,elementary,17,3,3,3
897,17K167,P.S. 167 The Parkway,elementary,17,3,3,3
898,17K181,P.S. 181 Brooklyn,k-8,17,3,3,11
899,17K189,P.S. 189 The Bilingual Center,k-8,17,3,3,3
900,17K191,P.S. 191 Paul Robeson,elementary,17,3,3,3
901,17K221,P.S. 221 Toussaint L'Ouverture,elementary,17,3,3,3
902,17K241,P.S. 241 Emma L. Johnston,elementary,17,3,3,3
903,17K246,M.S. 246 Walt Whitman,junior high-intermediate-middle,17,3,3,10
904,17K249,P.S. 249 The Caton,elementary,17,3,3,3
905,17K289,P.S. 289 George V. Brower,elementary,17,3,3,3
906,17K316,P.S. 316 Elijah Stroud,elementary,17,3,3,3
907,17K334,Middle School for Academic and Social Excellence,junior high-intermediate-middle,17,3,3,3
908,17K340,I.S. 340,junior high-intermediate-middle,17,3,3,3
909,17K352,Ebbets Field Middle School,junior high-intermediate-middle,17,3,3,6
910,17K353,Elijah Stroud Middle School,junior high-intermediate-middle,17,3,3,3
911,17K354,The School of Integrated Learning,junior high-intermediate-middle,17,3,3,3
912,17K375,P.S. 375 Jackie Robinson School,elementary,17,3,3,3
913,17K382,Academy for College Preparation and Career Explora,secondary school,17,8,23,31
914,17K394,M.S. K394,k-8,17,3,3,3
915,17K397,P.S. 397 Foster-Laurie,elementary,17,3,3,3
916,17K398,P.S. 398 Walter Weaver,elementary,17,3,3,3
917,17K399,P.S. 399 Stanley Eugene Clark,elementary,17,3,3,3
918,17K408,Academy of Hospitality and Tourism,high school,17,3,3,9
919,17K444,Home Schooling,central-hq-citywide,17,3,3,3
920,17K467,Erasmus Yabc,high school,17,3,3,3
921,17K484,Ronald Edmonds Learning Center II,junior high-intermediate-middle,17,3,3,3
922,17K489,W.E.B. Dubois Academic High School,high school,17,3,3,6
923,17K524,International High School at Prospect Heights,high school,17,3,3,3
924,17K528,The High School for Global Citizenship,high school,17,3,3,3
925,17K531,"School for Human Rights, The",secondary school,17,3,3,3
926,17K532,New Bridges Elementary,elementary,17,3,3,3
927,17K533,School for Democracy and Leadership,secondary school,17,20,32,52
928,17K537,High School for Youth and Community Development at,high school,17,3,3,11
929,17K539,High School for Service & Learning at Erasmus,high school,17,3,3,15
930,17K543,"Science, Technology and Research Early College Hig",secondary school,17,3,3,3
931,17K546,High School for Public Service: Heroes of Tomorrow,high school,17,3,3,3
932,17K547,Brooklyn Academy of Science and the Environment,high school,17,9,8,17
933,17K548,Brooklyn School for Music & Theatre,high school,17,41,16,57
934,17K568,Brownsville Academy High School,high school,17,9,7,16
935,17K590,Medgar Evers College Preparatory School,secondary school,17,3,3,3
936,17K600,Clara Barton High School,high school,17,11,12,23
937,17K705,Brooklyn Arts and Science Elementary School,elementary,17,3,3,11
938,17K722,New Heights Middle School,junior high-intermediate-middle,17,3,3,9
939,17K745,Brooklyn Institute for Liberal Arts,high school,17,3,3,3
940,17K751,Academy for Health Careers,high school,17,3,3,7
941,17K770,P.S. 770 New American Academy,elementary,17,3,3,3
942,18K066,P.S. 66,k-8,18,3,3,3
943,18K068,I.S. 068 Isaac Bildersee,junior high-intermediate-middle,18,6,10,16
944,18K114,P.S. 114 Ryder Elementary,elementary,18,3,3,3
945,18K115,P.S. 115 Daniel Mucatel School,elementary,18,3,3,3
946,18K135,P.S. 135 Sheldon A. Brookner,elementary,18,3,3,3
947,18K208,P.S. 208 Elsa Ebeling,elementary,18,3,3,3
948,18K211,I.S. 211 John Wilson,junior high-intermediate-middle,18,17,27,44
949,18K219,P.S. 219 Kennedy-King,elementary,18,3,3,3
950,18K233,P.S. 233 Langston Hughes,elementary,18,3,3,3
951,18K235,P.S. 235 Janice Marie Knight School,k-8,18,3,3,3
952,18K244,P.S. 244 Richard R. Green,elementary,18,3,3,3
953,18K268,P.S. 268 Emma Lazarus,elementary,18,3,3,3
954,18K272,P.S. 272 Curtis Estabrook,elementary,18,3,3,3
955,18K276,P.S. 276 Louis Marshall,elementary,18,3,3,3
956,18K279,P.S. 279 Herman Schreiber,elementary,18,3,3,3
957,18K285,I.S. 285 Meyer Levin,junior high-intermediate-middle,18,10,15,25
958,18K366,The Science And Medicine Middle School,junior high-intermediate-middle,18,8,14,22
959,18K444,Home Schooling,central-hq-citywide,18,3,3,3
960,18K563,It Takes a Village Academy,high school,18,3,3,7
961,18K566,Brooklyn Generation School,high school,18,3,3,9
962,18K567,Brooklyn Theatre Arts High School,high school,18,3,3,14
963,18K569,Kurt Hahn Expeditionary Learning School,high school,18,12,10,22
964,18K576,Victory Collegiate High School,high school,18,3,3,3
965,18K578,Brooklyn Bridge Academy,high school,18,3,3,3
966,18K581,East Flatbush Community Research School,junior high-intermediate-middle,18,3,3,3
967,18K588,Middle School for Art and Philosophy,junior high-intermediate-middle,18,7,22,29
968,18K589,Arts & Media Preparatory Academy,high school,18,3,3,8
969,18K598,Middle School of Marketing and Legal Studies,junior high-intermediate-middle,18,3,3,3
970,18K617,High School for Innovation in Advertising and Medi,high school,18,7,10,17
971,18K629,Cultural Academy for the Arts and Sciences,high school,18,12,26,38
972,18K633,High School for Medical Professions,high school,18,7,7,14
973,18K635,Olympus Academy,high school,18,3,3,3
974,18K637,Academy for Conservation and the Environment,high school,18,3,3,3
975,18K642,Urban Action Academy,high school,18,8,21,29
976,18K673,East Brooklyn Community High School,high school,18,3,3,7
977,18K763,Brooklyn Science and Engineering Academy,junior high-intermediate-middle,18,3,3,3
978,18K922,South Shore Educational Complex Yabc,high school,18,3,3,3
979,19K007,P.S. 007 Abraham Lincoln,elementary,19,3,3,3
980,19K013,P.S. 013 Roberto Clemente,elementary,19,3,3,3
981,19K065,P.S. 065,elementary,19,3,3,3
982,19K089,P.S. 089 Cypress Hills,k-8,19,3,3,13
983,19K108,P.S. 108 Sal Abbracciamento,elementary,19,3,3,3
984,19K149,P.S. 149 Danny Kaye,elementary,19,3,3,3
985,19K158,P.S. 158 Warwick,elementary,19,3,3,3
986,19K159,P.S. 159 Isaac Pitkin,elementary,19,3,3,16
987,19K171,I.S. 171 Abraham Lincoln,junior high-intermediate-middle,19,3,3,16
988,19K174,P.S. 174 Dumont,k-8,19,3,3,3
989,19K190,P.S. 190 Sheffield,elementary,19,3,3,3
990,19K202,P.S. 202 Ernest S. Jenkyns,elementary,19,3,3,3
991,19K213,P.S. 213 New Lots,elementary,19,3,3,3
992,19K214,P.S. 214 Michael Friedsam,elementary,19,3,3,9
993,19K218,J.H.S. 218 James P. Sinnott,junior high-intermediate-middle,19,3,3,6
994,19K224,P.S. 224 Hale A. Woodruff,elementary,19,3,3,6
995,19K273,P.S. 273 Wortman,elementary,19,3,3,3
996,19K290,P.S. 290 Juan Morel Campos,elementary,19,3,3,3
997,19K292,J.H.S. 292 Margaret S. Douglas,junior high-intermediate-middle,19,3,3,10
998,19K306,P.S. 306 Ethan Allen,k-8,19,3,3,10
999,19K311,Essence School,junior high-intermediate-middle,19,3,3,3
1000,19K325,The Fresh Creek School,elementary,19,3,3,3
1001,19K328,P.S. 328 Phyllis Wheatley,elementary,19,3,3,3
1002,19K345,P.S. 345 Patrolman Robert Bolden,elementary,19,3,3,3
1003,19K346,P.S. 346 Abe Stark,elementary,19,3,3,3
1004,19K364,I.S. 364 Gateway,junior high-intermediate-middle,19,3,3,3
1005,19K404,Academy for Young Writers,secondary school,19,15,12,27
1006,19K409,East New York Family Academy,secondary school,19,3,3,9
1007,19K422,Spring Creek Community School,secondary school,19,3,3,15
1008,19K431,Thomas Jefferson Yabc,high school,19,3,3,3
1009,19K444,Home Schooling,central-hq-citywide,19,3,3,3
1010,19K452,Frederick Douglass Academy VIII Middle School,junior high-intermediate-middle,19,3,3,3
1011,19K501,Franklin K. Lane Campus YABC,high school,19,3,3,3
1012,19K502,FDNY High School for Fire and Life Safety,high school,19,3,3,10
1013,19K504,High School for Civil Rights,high school,19,3,3,7
1014,19K507,Performing Arts and Technology High School,high school,19,3,3,3
1015,19K510,World Academy for Total Community Health High Scho,high school,19,3,3,6
1016,19K557,Brooklyn Gardens Elementary School,elementary,19,3,3,3
1017,19K583,Multicultural High School,high school,19,3,3,3
1018,19K615,Transit Tech Career and Technical Education High S,high school,19,3,3,6
1019,19K618,Academy of Innovative Technology,high school,19,3,3,3
1020,19K639,Brooklyn Lab School,high school,19,3,3,11
1021,19K654,Van Siclen Community Middle School,junior high-intermediate-middle,19,3,3,3
1022,19K659,Cypress Hills Collegiate Preparatory School,high school,19,3,3,6
1023,19K660,W. H. Maxwell Career and Technical Education High,high school,19,3,3,3
1024,19K661,Vista Academy,junior high-intermediate-middle,19,3,3,9
1025,19K662,Liberty Avenue Middle School,junior high-intermediate-middle,19,3,3,3
1026,19K663,School of the Future Brooklyn,junior high-intermediate-middle,19,3,3,3
1027,19K677,East New York Elementary School of Excellence,elementary,19,3,3,10
1028,19K678,East New York Middle School of Excellence,junior high-intermediate-middle,19,3,3,3
1029,19K683,"The School for Classics: An Academy of Thinkers, W",high school,19,3,3,13
1030,19K760,Highland Park Community School,junior high-intermediate-middle,19,3,3,3
1031,19K764,The Urban Assembly School for Collaborative Health,high school,19,3,3,3
1032,20K030,P.S./I.S. 30 Mary White Ovington,k-8,20,3,3,11
1033,20K048,P.S. 048 Mapleton,elementary,20,3,3,3
1034,20K062,J.H.S. 062 Ditmas,junior high-intermediate-middle,20,3,3,12
1035,20K069,P.S. 69 Vincent D. Grippo School,elementary,20,3,3,3
1036,20K102,P.S. 102 The Bayview,elementary,20,3,3,3
1037,20K104,P.S./I.S. 104 The Fort Hamilton School,k-8,20,3,3,3
1038,20K105,P.S. 105 The Blythebourne,elementary,20,3,3,3
1039,20K112,P.S. 112 Lefferts Park,elementary,20,3,3,3
1040,20K127,P.S. 127 Mckinley Park,elementary,20,3,3,3
1041,20K160,P.S. 160 William T. Sampson,elementary,20,3,3,3
1042,20K163,P.S. 163 Bath Beach,k-8,20,3,3,3
1043,20K164,P.S. 164 Caesar Rodney,elementary,20,3,3,3
1044,20K170,Ralph A. Fabrizio School,elementary,20,3,3,3
1045,20K176,P.S. 176 Ovington,elementary,20,3,3,3
1046,20K179,P.S. 179 Kensington,elementary,20,3,3,3
1047,20K180,The SEEALL Academy,k-8,20,3,3,28
1048,20K185,P.S. 185 Walter Kassenbrock,elementary,20,3,3,3
1049,20K186,P.S. 186 Dr. Irving A Gladstone,elementary,20,3,3,3
1050,20K187,The Christa McAuliffe School\I.S. 187,junior high-intermediate-middle,20,3,3,3
1051,20K192,P.S. 192 - The Magnet School for Math and Science,k-8,20,3,3,3
1052,20K200,P.S. 200 Benson School,elementary,20,3,3,8
1053,20K201,J.H.S. 201 The Dyker Heights,junior high-intermediate-middle,20,3,3,7
1054,20K204,P.S. 204 Vince Lombardi,elementary,20,3,3,3
1055,20K205,P.S. 205 Clarion,elementary,20,3,3,3
1056,20K220,J.H.S. 220 John J. Pershing,junior high-intermediate-middle,20,3,3,3
1057,20K223,J.H.S. 223 The Montauk,junior high-intermediate-middle,20,3,3,13
1058,20K227,J.H.S. 227 Edward B. Shallow,junior high-intermediate-middle,20,3,3,17
1059,20K229,P.S. 229 Dyker,k-8,20,3,3,3
1060,20K247,P.S. 247 Brooklyn,elementary,20,3,3,3
1061,20K259,J.H.S. 259 William Mckinley,junior high-intermediate-middle,20,3,3,11
1062,20K264,P.S. 264 Bay Ridge Elementary School For The Arts,elementary,20,3,3,3
1063,20K310,The School For Future Leaders,elementary,20,3,3,3
1064,20K444,Home Schooling,central-hq-citywide,20,3,3,3
1065,20K445,New Utrecht High School,high school,20,6,29,35
1066,20K485,High School of Telecommunication Arts and Technolo,high school,20,3,3,3
1067,20K490,Fort Hamilton High School,high school,20,3,3,19
1068,20K503,P.S. 503: The School of Discovery,elementary,20,3,3,3
1069,20K505,Franklin Delano Roosevelt High School,high school,20,3,3,22
1070,20K506,P.S. 506: The School of Journalism & Technology,elementary,20,3,3,3
1071,20K609,Urban Assembly School for Criminal Justice,secondary school,20,3,3,13
1072,20K658,Franklin Delano Roosevelt YABC,high school,20,3,3,3
1073,20K682,The Academy of Talented Scholars,elementary,20,3,3,3
1074,20K686,Brooklyn School of Inquiry,k-8,20,3,3,3
1075,20K748,P.S. 748 Brooklyn School for Global Scholars,elementary,20,3,3,3
1076,20K768,District 20 Pre-K Center,district pre-k center,20,3,3,3
1077,20K920,New Utrecht Evening Hs M/W,ungraded,20,3,3,3
1078,20K921,New Utrecht Evening Hs T/R,ungraded,20,3,3,3
1079,20K971,"School of Math, Science, and Healthy Living",elementary,20,3,3,3
1080,21K090,P.S. 90 Edna Cohen School,elementary,21,3,3,19
1081,21K095,P.S. 095 The Gravesend,k-8,21,3,3,3
1082,21K096,I.S. 096 Seth Low,junior high-intermediate-middle,21,3,3,11
1083,21K097,P.S. 97 The Highlawn,elementary,21,3,3,3
1084,21K098,I.S. 98 Bay Academy,junior high-intermediate-middle,21,3,3,3
1085,21K099,P.S. 099 Isaac Asimov,k-8,21,3,3,17
1086,21K100,P.S. 100 The Coney Island School,elementary,21,3,3,3
1087,21K101,P.S. 101 The Verrazano,elementary,21,3,3,3
1088,21K121,P.S. 121 Nelson A. Rockefeller,k-8,21,3,3,3
1089,21K128,P.S. 128 Bensonhurst,elementary,21,3,3,3
1090,21K153,P.S. 153 Homecrest,elementary,21,3,3,10
1091,21K177,P.S. 177 The Marlboro,elementary,21,3,3,3
1092,21K188,P.S. 188 Michael E. Berdy,elementary,21,3,3,7
1093,21K199,P.S. 199 Frederick Wachtel,elementary,21,3,3,3
1094,21K209,P.S. 209 Margaret Mead,k-8,21,3,3,3
1095,21K212,P.S. 212 Lady Deborah Moody,elementary,21,3,3,3
1096,21K215,P.S. 215 Morris H. Weiss,elementary,21,3,3,3
1097,21K216,P.S. 216 Arturo Toscanini,elementary,21,3,3,3
1098,21K225,P.S. K225 - The Eileen E. Zaglin,k-8,21,3,3,3
1099,21K226,P.S. 226 Alfred De B.Mason,k-8,21,3,3,3
1100,21K228,I.S. 228 David A. Boody,junior high-intermediate-middle,21,3,3,14
1101,21K238,P.S. 238 Anne Sullivan,k-8,21,3,3,3
1102,21K239,Mark Twain I.S. 239 for the Gifted & Talented,junior high-intermediate-middle,21,3,3,3
1103,21K253,P.S. 253,elementary,21,3,3,3
1104,21K281,I.S. 281 Joseph B Cavallaro,junior high-intermediate-middle,21,3,3,21
1105,21K288,P.S. 288 The Shirley Tanyhill,k-8,21,3,3,6
1106,21K303,I.S. 303 Herbert S. Eisenberg,junior high-intermediate-middle,21,3,3,3
1107,21K329,P.S. 329 Surfside,elementary,21,3,3,3
1108,21K337,International High School at Lafayette,high school,21,3,3,3
1109,21K344,Rachel Carson High School for Coastal Studies,high school,21,3,3,16
1110,21K348,High School of Sports Management,high school,21,3,3,10
1111,21K410,Abraham Lincoln High School,high school,21,11,21,32
1112,21K411,Abraham Lincoln Yabc,high school,21,3,3,3
1113,21K444,Home Schooling,central-hq-citywide,21,3,3,3
1114,21K468,Kingsborough Early College School,secondary school,21,3,3,17
1115,21K525,Edward R. Murrow High School,high school,21,7,7,14
1116,21K540,John Dewey High School,high school,21,3,3,20
1117,21K559,Life Academy High School for Film and Music,high school,21,3,3,7
1118,21K572,Expeditionary Learning School for Community Leader,high school,21,3,3,7
1119,21K620,William E. Grady Career and Technical Education Hi,high school,21,3,3,31
1120,21K690,Brooklyn Studio Secondary School,secondary school,21,7,9,16
1121,21K728,Liberation Diploma Plus,high school,21,3,3,3
1122,21K840,Brooklyn's Daily Discovery Pre-K Center,district pre-k center,21,3,3,3
1123,22K014,J.H.S. 014 Shell Bank,junior high-intermediate-middle,22,3,3,6
1124,22K052,P.S. 052 Sheepshead Bay,elementary,22,3,3,9
1125,22K078,J.H.S. 078 Roy H. Mann,junior high-intermediate-middle,22,3,3,8
1126,22K109,P.S. 109,k-8,22,13,25,38
1127,22K119,P.S. 119 Amersfort,elementary,22,3,3,3
1128,22K134,P.S. K134,elementary,22,3,3,3
1129,22K139,P.S. 139 Alexine A. Fenty,elementary,22,3,3,17
1130,22K152,School of Science & Technology,elementary,22,3,3,6
1131,22K193,P.S. 193 Gil Hodges,elementary,22,3,3,6
1132,22K194,P.S. 194 Raoul Wallenberg,elementary,22,3,3,3
1133,22K195,P.S. 195 Manhattan Beach,elementary,22,3,3,3
1134,22K197,P.S. 197 - The Kings Highway Academy,elementary,22,3,3,3
1135,22K198,P.S. 198 Brooklyn,elementary,22,3,3,3
1136,22K203,P.S. 203 Floyd Bennett School,elementary,22,3,3,6
1137,22K206,P.S. 206 Joseph F Lamb,k-8,22,3,3,3
1138,22K207,P.S. 207 Elizabeth G. Leary,k-8,22,3,3,23
1139,22K217,P.S. 217 Colonel David Marcus School,elementary,22,3,3,3
1140,22K222,P.S. 222 Katherine R. Snyder,elementary,22,3,3,3
1141,22K234,J.H.S. 234 Arthur W. Cunningham,junior high-intermediate-middle,22,3,3,22
1142,22K236,P.S. 236 Mill Basin,elementary,22,3,3,3
1143,22K240,Andries Hudde,junior high-intermediate-middle,22,3,3,17
1144,22K245,P.S. 245,elementary,22,3,3,3
1145,22K251,P.S. 251 Paerdegat,elementary,22,3,3,11
1146,22K254,P.S. 254 Dag Hammarskjold,elementary,22,3,3,3
1147,22K255,P.S. 255 Barbara Reing School,elementary,22,3,3,3
1148,22K269,P.S. 269 Nostrand,elementary,22,3,3,9
1149,22K277,P.S. 277 Gerritsen Beach,elementary,22,3,3,3
1150,22K278,J.H.S. 278 Marine Park,junior high-intermediate-middle,22,8,12,20
1151,22K312,P.S. 312 Bergen Beach,elementary,22,3,3,3
1152,22K315,P.S. K315,elementary,22,3,3,7
1153,22K326,P.S. 326,early childhood,22,3,3,3
1154,22K361,P.S. 361 East Flatbush Early Childhood School,early childhood,22,3,3,3
1155,22K381,I. S. 381,junior high-intermediate-middle,22,3,3,3
1156,22K405,Midwood High School,high school,22,3,3,15
1157,22K425,James Madison High School,high school,22,3,3,7
1158,22K444,Home Schooling,central-hq-citywide,22,3,3,3
1159,22K495,Sheepshead Bay High School,high school,22,3,3,3
1160,22K535,Leon M. Goldstein High School for the Sciences,high school,22,3,3,3
1161,22K555,Brooklyn College Academy,high school,22,3,3,3
1162,22K611,Origins High School,high school,22,3,3,9
1163,22K630,Professional Pathways High School,high school,22,3,3,3
1164,22K853,The Joan Snow Pre-K Center,district pre-k center,22,3,3,3
1165,23K041,P.S. 041 Francis White,k-8,23,3,3,3
1166,23K073,P.S. 073 Thomas S. Boyland,k-8,23,3,3,3
1167,23K137,P.S./I.S. 137 Rachel Jean Mitchell,k-8,23,3,3,6
1168,23K150,P.S. 150 Christopher,elementary,23,3,3,3
1169,23K155,P.S./ I.S. 155 Nicholas Herkimer,k-8,23,3,3,3
1170,23K156,P.S. 156 Waverly,elementary,23,3,3,3
1171,23K165,P.S. 165 Ida Posner,k-8,23,3,3,6
1172,23K178,P.S. 178 Saint Clair Mckelway,k-8,23,3,3,3
1173,23K184,P.S. 184 Newport,k-8,23,3,3,3
1174,23K284,P.S. 284 Lew Wallace,k-8,23,3,3,8
1175,23K298,P.S. 298 Dr. Betty Shabazz,elementary,23,3,3,3
1176,23K323,P.S./I.S. 323,k-8,23,3,3,3
1177,23K327,P.S. 327 Dr. Rose B. English,k-8,23,3,3,3
1178,23K363,Brownsville Collaborative Middle School,junior high-intermediate-middle,23,3,3,3
1179,23K392,I.S. 392,junior high-intermediate-middle,23,3,3,3
1180,23K401,Christopher Avenue Community School,elementary,23,3,3,3
1181,23K444,Home Schooling,central-hq-citywide,23,3,3,3
1182,23K446,Riverdale Avenue Community School,elementary,23,3,3,21
1183,23K493,Brooklyn Collegiate: A College Board School,high school,23,3,3,7
1184,23K514,Frederick Douglass Academy VII High School,high school,23,3,3,3
1185,23K518,Kappa V (Knowledge and Power Preparatory Academy),junior high-intermediate-middle,23,3,3,3
1186,23K522,Mott Hall IV,junior high-intermediate-middle,23,3,3,3
1187,23K599,Brooklyn Landmark Elementary School,elementary,23,3,3,3
1188,23K643,Brooklyn Democracy Academy,high school,23,3,3,3
1189,23K644,Eagle Academy for Young Men II,secondary school,23,3,3,3
1190,23K646,Aspirations Diploma Plus High School,high school,23,3,3,3
1191,23K647,Metropolitan Diploma Plus High School,high school,23,3,3,3
1192,23K664,Brooklyn Environmental Exploration School (BEES),junior high-intermediate-middle,23,3,3,3
1193,23K668,Riverdale Avenue Middle School,junior high-intermediate-middle,23,3,3,3
1194,23K671,Mott Hall Bridges Academy,junior high-intermediate-middle,23,3,3,3
1195,23K697,Teachers Preparatory High School,secondary school,23,3,3,8
