,DBN,school_name,school_category,district_code,american_indian_or_alaskan_native,asian,black,hispanic,white,multi_racial,unknown
78,02M303,"Facing History School, The",high school,2,3,3,3,3,3,3,3
79,02M305,"Urban Assembly Academy of Government and Law, The",high school,2,3,3,10,3,3,3,3
80,02M308,Lower Manhattan Arts Academy,high school,2,3,3,8,3,3,3,3
81,02M312,New York City Lab Middle School for Collaborative,junior high-intermediate-middle,2,3,3,3,3,3,3,3
82,02M313,"James Baldwin School, The: A School for Expedition",high school,2,3,3,3,3,3,3,3
83,02M316,"Urban Assembly School of Business for Young Women,",high school,2,3,3,3,3,3,3,3
84,02M340,Sixth Avenue Elementary School,elementary,2,3,3,3,3,3,3,3
85,02M343,The Peck Slip School,elementary,2,3,3,3,3,3,3,3
86,02M347,The 47 American Sign Language & English Lower Scho,k-8,2,3,3,3,3,3,3,3
87,02M374,Gramercy Arts High School,high school,2,3,3,8,3,3,3,3
88,02M376,NYC iSchool,high school,2,3,3,3,3,3,3,3
89,02M392,Manhattan Business Academy,high school,2,3,3,3,3,3,3,3
90,02M393,Business Of Sports School,high school,2,3,3,3,7,3,3,3
91,02M394,Emma Lazarus High School,high school,2,3,3,3,3,3,3,3
92,02M397,Spruce Street School,k-8,2,3,3,3,3,3,3,3
93,02M399,The High School For Language And Diplomacy,high school,2,3,3,3,3,3,3,3
94,02M400,High School for Environmental Studies,high school,2,3,3,3,6,3,3,3
95,02M407,Institute for Collaborative Education,secondary school,2,3,3,3,3,3,3,3
96,02M408,Professional Performing Arts High School,secondary school,2,3,3,3,3,3,3,3
97,02M411,Baruch College Campus High School,high school,2,3,3,3,3,3,3,3
98,02M412,N.Y.C. Lab School for Collaborative Studies,high school,2,3,3,3,3,3,3,3
99,02M413,School of the Future High School,secondary school,2,3,3,3,3,3,3,3
100,02M414,N.Y.C. Museum School,high school,2,3,3,3,3,3,3,3
101,02M416,Eleanor Roosevelt High School,high school,2,3,3,3,3,3,3,3
102,02M418,Millennium High School,high school,2,3,3,3,3,3,3,3
103,02M419,Landmark High School,high school,2,3,3,3,3,3,3,3
104,02M420,High School for Health Professions and Human Servi,high school,2,3,3,3,3,3,3,3
105,02M422,Quest to Learn,secondary school,2,3,3,3,6,3,3,3
106,02M425,Leadership and Public Service High School,high school,2,3,3,3,3,3,3,3
107,02M427,Manhattan Academy For Arts & Language,high school,2,3,3,3,3,3,3,3
108,02M432,Murray Hill Academy,high school,2,3,3,3,3,3,3,3
109,02M437,Hudson High School of Learning Technologies,high school,2,3,3,3,3,3,3,3
110,02M438,International High School at Union Square,high school,2,3,3,3,3,3,3,3
111,02M439,Manhattan Village Academy,high school,2,3,3,3,3,3,3,3
112,02M442,"Ballet Tech, NYC Public School for Dance",k-8,2,3,3,3,3,3,3,3
113,02M449,Vanguard High School,high school,2,3,3,3,3,3,3,3
114,02M459,Manhattan International High School,high school,2,3,3,3,3,3,3,3
115,02M473,Washington Irving Yabc,high school,79,3,3,3,3,3,3,3
116,02M475,Stuyvesant High School,high school,2,3,3,3,3,3,3,3
117,02M489,High School of Economics and Finance,high school,2,3,3,3,3,3,3,3
118,02M500,Unity Center for Urban Technologies,high school,2,3,3,3,3,3,3,3
119,02M507,Urban Assembly Gateway School for Technology,high school,2,3,3,3,3,3,3,3
120,02M519,Talent Unlimited High School,high school,2,3,3,3,3,3,3,3
121,02M520,Murry Bergtraum High School for Business Careers,high school,2,3,3,10,3,3,3,3
122,02M527,P.S. 527 - East Side School for Social Action,elementary,2,3,3,3,3,3,3,3
123,02M529,Jacqueline Kennedy Onassis High School,high school,2,3,3,11,13,3,3,3
124,02M531,Repertory Company High School for Theatre Arts,high school,2,3,3,3,3,3,3,3
125,02M533,Union Square Academy for Health Sciences,high school,2,3,3,3,3,3,3,3
126,02M534,Harvest Collegiate High School,high school,2,3,3,3,3,3,3,3
127,02M542,Manhattan Bridges High School,high school,2,3,3,3,3,3,3,3
128,02M543,New Design High School,high school,2,3,3,3,3,3,3,3
129,02M544,Independence High School,high school,2,3,3,3,3,3,3,3
130,02M545,High School for Dual Language and Asian Studies,high school,2,3,3,3,3,3,3,3
131,02M546,Academy for Software Engineering,high school,2,3,3,3,3,3,3,3
132,02M550,Liberty High School Academy for Newcomers,high school,2,3,3,3,3,3,3,3
133,02M551,Urban Assembly New York Harbor School,high school,2,3,3,3,3,3,3,3
134,02M560,High School M560 - City As School,high school,2,3,3,3,3,3,3,3
135,02M565,Urban Academy Laboratory High School,high school,2,3,3,3,3,3,3,3
136,02M570,Satellite Academy High School,high school,2,3,3,3,3,3,3,3
137,02M575,Manhattan Comprehensive Night and Day High School,high school,2,3,3,3,3,3,3,3
138,02M580,Richard R. Green High School of Teaching,high school,2,3,3,6,3,3,3,3
139,02M586,Harvey Milk High School,high school,2,3,3,3,3,3,3,3
140,02M600,The High School of Fashion Industries,high school,2,3,3,3,3,3,3,3
141,02M605,Humanities Preparatory Academy,high school,2,3,3,3,3,3,3,3
142,02M615,Chelsea Career and Technical Education High School,high school,2,3,3,3,3,3,3,3
143,02M630,Art and Design High School,high school,2,3,3,3,3,3,3,3
144,02M655,Life Sciences Secondary School,secondary school,2,3,3,3,3,3,3,3
145,02M896,Lower Manhattan Community Middle School,junior high-intermediate-middle,2,3,3,3,3,3,3,3
146,02M933,City Knoll Middle School,junior high-intermediate-middle,2,3,3,6,10,3,3,3
147,03M009,P.S. 009 Sarah Anderson,elementary,3,3,3,3,3,3,3,3
148,03M054,J.H.S. 054 Booker T. Washington,junior high-intermediate-middle,3,3,3,7,3,3,3,3
149,03M075,P.S. 075 Emily Dickinson,elementary,3,3,3,3,3,3,3,3
150,03M076,P.S. 076 A. Philip Randolph,k-8,3,3,3,25,9,3,3,3
151,03M084,P.S. 084 Lillian Weber,elementary,3,3,3,3,3,3,3,3
152,03M087,P.S. 087 William Sherman,elementary,3,3,3,3,3,3,3,3
153,03M145,"P.S. 145, The Bloomingdale School",elementary,3,3,3,3,3,3,3,3
154,03M149,P.S. 149 Sojourner Truth,k-8,3,3,3,3,3,3,3,3
155,03M163,P.S. 163 Alfred E. Smith,elementary,3,3,3,3,3,3,3,3
156,03M165,P.S. 165 Robert E. Simon,k-8,3,3,3,3,3,3,3,3
157,03M166,P.S. 166 The Richard Rodgers School of The Arts an,elementary,3,3,3,3,3,3,3,3
158,03M180,P.S. 180 Hugo Newman,k-8,3,3,3,12,3,3,3,3
159,03M185,The Locke School of Arts and Engineering,elementary,3,3,3,9,3,3,3,3
160,03M191,The Riverside School for Makers and Artists,k-8,3,3,3,9,3,3,3,3
161,03M199,P.S. 199 Jessie Isador Straus,elementary,3,3,3,3,3,3,3,3
162,03M241,STEM Institute of Manhattan,elementary,3,3,3,3,3,3,3,3
163,03M242,P.S. 242 - The Young Diplomats Magnet Academy,elementary,3,3,3,3,3,3,3,3
164,03M243,M.S. 243 Center School,junior high-intermediate-middle,3,3,3,3,3,3,3,3
165,03M245,M.S. M245 The Computer School,junior high-intermediate-middle,3,3,3,3,3,3,3,3
166,03M247,M.S. M247 Dual Language Middle School,junior high-intermediate-middle,3,3,3,3,3,3,3,3
167,03M250,M.S. 250 West Side Collaborative Middle School,junior high-intermediate-middle,3,3,3,6,3,3,3,3
168,03M256,Lafayette Academy,junior high-intermediate-middle,3,3,3,11,3,3,3,3
169,03M258,Community Action School - MS 258,junior high-intermediate-middle,3,3,3,7,3,3,3,3
170,03M291,West End Secondary School,secondary school,3,3,3,3,3,3,3,3
171,03M299,The Maxine Greene HS for Imaginative Inquiry,high school,3,3,3,19,18,3,3,3
172,03M307,"Urban Assembly School for Media Studies, The",high school,3,3,3,11,3,3,3,3
173,03M333,P.S. 333 Manhattan School for Children,k-8,3,3,3,3,3,3,3,3
174,03M334,The Anderson School,k-8,3,3,3,3,3,3,3,3
175,03M402,The Urban Assembly School for Green Careers,high school,3,3,3,8,12,3,3,3
176,03M403,The Global Learning Collaborative,high school,3,3,3,3,3,3,3,3
177,03M404,Innovation Diploma Plus,high school,3,3,3,6,3,3,3,3
178,03M415,Wadleigh Secondary School for the Performing & Vis,secondary school,3,3,3,3,3,3,3,3
179,03M417,Frank McCourt High School,high school,3,3,3,3,3,3,3,3
180,03M421,West Prep Academy,junior high-intermediate-middle,3,3,3,12,3,3,3,3
181,03M452,P.S. 452,elementary,3,3,3,3,3,3,3,3
182,03M479,Beacon High School,high school,3,3,3,3,3,3,3,3
183,03M485,Fiorello H. LaGuardia High School of Music & Art a,high school,3,3,3,3,3,3,3,3
184,03M492,"High School for Law, Advocacy and Community Justic",high school,3,3,3,3,3,3,3,3
185,03M494,High School of Arts and Technology,high school,3,3,3,10,3,3,3,3
186,03M505,Edward A. Reynolds West Side High School,high school,3,3,3,3,3,3,3,3
187,03M541,Manhattan / Hunter Science High School,high school,3,3,3,3,3,3,3,3
188,03M859,Special Music School,k-12 all grades,3,3,3,3,3,3,3,3
189,03M860,Frederick Douglass Academy II Secondary School,secondary school,3,3,3,12,3,3,3,3
190,03M862,Mott Hall II,junior high-intermediate-middle,3,3,3,7,3,3,3,3
191,04M007,P.S. 007 Samuel Stern,k-8,4,3,3,3,3,3,3,3
192,04M012,Tag Young Scholars,k-8,4,3,3,3,3,3,3,3
193,04M037,River East Elementary,elementary,4,3,3,3,3,3,3,3
194,04M038,P.S. 38 Roberto Clemente,elementary,4,3,3,3,3,3,3,3
195,04M057,James Weldon Johnson,k-8,4,3,3,3,3,3,3,3
196,04M072,The Lexington Academy,k-8,4,3,3,3,3,3,3,3
197,04M083,P.S. 083 Luis Munoz Rivera,elementary,4,3,3,3,3,3,3,3
198,04M096,P.S. 096 Joseph Lanzetta,k-8,4,3,3,3,3,3,3,3
