,DBN,Location Name,Location Type,Total SW & GC,Total GC,Full Time,Part Time,Bilingual,Serving more than one location,SY2016-17 Enrollment,Ratio GC & SW,Ratio GC Only
612,11X556,11X556 - BRONX PARK MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,2.0,1.0,1.0,0.0,0.0,0.0,394.0,197.0,394.0
613,11X566,11X566 - PELHAM GARDENS MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,469.0,469.0,469.0
614,11X567,11X567 - LINDEN TREE ELEMENTARY SCHOOL,ELEMENTARY                         ,2.0,2.0,2.0,0.0,0.0,0.0,343.0,172.0,172.0
615,12X006,12X006 - P.S. 006 WEST FARMS,ELEMENTARY                         ,1.0,0.0,0.0,0.0,0.0,0.0,549.0,549.0,
616,12X044,12X044 - P.S. 044 DAVID C. FARRAGUT,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,274.0,137.0,274.0
617,12X047,12X047 - P.S. 047 JOHN RANDOLPH,ELEMENTARY                         ,2.0,0.0,0.0,0.0,0.0,0.0,1142.0,571.0,
618,12X057,12X057 - P.S. 057 CRESCENT,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,558.0,279.0,558.0
619,12X061,12X061 - P.S. 061 FRANCISCO OLLER,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,293.0,293.0,293.0
620,12X066,12X066 - P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,ELEMENTARY                         ,5.0,1.0,1.0,0.0,0.0,0.0,706.0,142.0,706.0
621,12X067,12X067 - P.S. 067 MOHEGAN SCHOOL,ELEMENTARY                         ,1.0,0.0,0.0,0.0,0.0,0.0,605.0,605.0,
622,12X092,12X092 - P.S. 092 BRONX,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,436.0,218.0,436.0
623,12X098,12X098 - J.H.S. 098 HERMAN RIDDER,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,2.0,1.0,1.0,0.0,0.0,0.0,210.0,105.0,210.0
624,12X129,12X129 - M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEAD,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,2.0,1.0,1.0,0.0,0.0,0.0,534.0,267.0,534.0
625,12X134,12X134 - P.S. 134 GEORGE F. BRISTOW,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,691.0,346.0,691.0
