,DBN,School Name,Student Response Rate,Number of student respondents,Number of eligible students,Safety and respect score,Communication score,Engagement score,Academic expectation score
123,02M545,High School for Dual Language and Asian Studies,0.0,-1.0,334.0,-1.0,-1.0,-1.0,-1.0
124,02M550,Liberty High School Academy for Newcomers,91.0,349.0,382.0,7.7,6.3,7.1,7.5
125,02M551,New York Harbor School,71.0,276.0,389.0,6.8,6.0,6.7,7.4
126,02M560,High School M560 - City As School,41.0,199.0,487.0,8.6,7.2,7.9,8.5
127,02M565,Urban Academy Laboratory High School,99.0,153.0,154.0,9.1,8.3,8.7,9.3
128,02M570,Satellite Academy High School,54.0,99.0,184.0,8.1,7.1,7.8,7.9
129,02M575,Manhattan Comprehensive Night and Day High School,92.0,677.0,735.0,8.7,6.8,8.1,8.3
130,02M580,Richard R. Green High School of Teaching,93.0,519.0,558.0,6.6,5.7,6.4,7.0
131,02M586,Harvey Milk High School,64.0,39.0,61.0,7.4,6.9,7.6,8.0
132,02M600,The High School of Fashion Industries,94.0,1495.0,1592.0,6.5,5.6,6.5,7.3
133,02M605,Humanities Preparatory Academy,71.0,129.0,182.0,7.0,6.7,6.6,7.3
134,02M615,Chelsea Career and Technical Education High School,97.0,468.0,482.0,6.5,5.8,6.3,7.3
135,02M620,Norman Thomas High School,23.0,368.0,1608.0,6.2,5.6,6.1,6.8
136,02M625,High School of Graphic Communication Arts,75.0,1192.0,1599.0,5.7,5.4,5.7,6.5
137,02M630,Art and Design High School,83.0,1019.0,1230.0,6.7,5.9,6.5,7.2
138,02M655,Life Sciences Secondary School,73.0,474.0,645.0,5.9,5.7,6.4,6.9
139,02M896,Lower Manhattan Community Middle School,97.0,234.0,241.0,7.0,6.6,7.0,7.7
140,03M009,P.S. 009 Sarah Anderson,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
141,03M044,J.H.S. M044 William J. O'Shea,97.0,61.0,63.0,7.3,6.3,7.3,8.0
142,03M054,J.H.S. 054 Booker T. Washington,96.0,804.0,839.0,7.5,6.5,7.5,7.9
143,03M075,P.S. 075 Emily Dickinson,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
144,03M076,P.S. 076 A. Philip Randolph,96.0,101.0,105.0,7.9,7.1,8.4,8.9
145,03M084,P.S. 084 Lillian Weber,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
146,03M087,P.S. 087 William Sherman,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
147,03M145,"P.S. 145, The Bloomingdale School",-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
148,03M149,P.S. 149 Sojourner Truth,98.0,104.0,106.0,6.2,6.0,6.7,7.6
149,03M163,P.S. 163 Alfred E. Smith,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
150,03M165,P.S. 165 Robert E. Simon,83.0,135.0,163.0,7.0,6.6,6.9,7.9
151,03M166,P.S. 166 The Richard Rodgers School of The Arts an,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
152,03M180,P.S. 180 Hugo Newman,100.0,80.0,80.0,7.8,6.5,7.9,8.0
153,03M185,P.S. 185 John M. Langston,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
154,03M191,P.S. 191 Amsterdam,88.0,159.0,181.0,6.3,6.5,6.7,7.8
155,03M199,P.S. 199 Jessie Isador Straus,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
156,03M208,P.S. 208 Alain L. Locke,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
157,03M241,P.S. 241 Family Academy,76.0,31.0,41.0,7.7,8.2,8.0,8.3
158,03M242,PS M242-Gwendolyn Powell Brown Computer School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
159,03M243,M.S. 243 Center School,99.0,155.0,157.0,8.4,7.4,8.5,8.2
160,03M245,M.S. M245 The Computer School,92.0,367.0,401.0,7.9,6.9,7.7,8.3
161,03M247,M.S. M247 Dual Language Middle School,94.0,186.0,198.0,8.7,8.0,8.6,9.1
162,03M250,M.S. 250 West Side Collaborative Middle School,97.0,175.0,181.0,7.9,7.1,7.7,8.2
163,03M256,M.S. 256 Academic & Athletic Excellence,82.0,134.0,163.0,6.8,6.8,6.6,7.8
164,03M258,Community Action School - MS 258,87.0,214.0,245.0,7.0,6.3,7.0,7.6
165,03M283,Manhattan Theatre Lab High School,53.0,186.0,350.0,6.1,6.0,6.3,7.0
166,03M299,"High School for Arts, Imagination and Inquiry",91.0,344.0,379.0,6.5,5.8,6.4,7.1
167,03M307,"Urban Assembly School for Media Studies, The",80.0,263.0,330.0,6.9,6.2,7.1,7.6
168,03M333,P.S. 333 Manhattan School for Children,69.0,124.0,181.0,6.9,6.6,7.3,7.8
169,03M334,The Anderson School,100.0,192.0,192.0,7.7,7.0,7.9,8.5
170,03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,53.0,93.0,177.0,6.3,6.4,6.3,7.2
171,03M403,THE GLOBAL LEARNING COLLABORATIVE,79.0,162.0,204.0,7.0,6.7,7.1,7.4
172,03M404,INNOVATION DIPLOMA PLUS,73.0,147.0,201.0,7.3,6.4,6.8,7.5
173,03M415,Wadleigh Secondary School for the Performing & Vis,71.0,336.0,474.0,6.0,5.5,5.9,6.6
174,03M417,FRANK McCOURT HIGH SCHOOL,98.0,97.0,99.0,7.3,7.3,7.1,7.7
175,03M421,WEST PREP ACADEMY,79.0,85.0,107.0,5.6,6.4,6.6,7.7
176,03M452,P.S. 452,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
177,03M470,Louis D. Brandeis High School,65.0,400.0,618.0,6.3,5.5,6.1,6.6
178,03M479,Beacon High School,82.0,934.0,1145.0,7.8,7.2,7.6,8.2
179,03M485,Fiorello H. LaGuardia High School of Music & Art a,93.0,2345.0,2530.0,7.1,5.9,6.6,7.6
180,03M492,"High School for Law, Advocacy and Community Justic",80.0,385.0,481.0,6.2,6.0,6.2,7.4
181,03M494,High School of Arts and Technology,87.0,502.0,574.0,6.4,5.8,6.5,7.1
182,03M505,Edward A. Reynolds West Side High School,59.0,248.0,423.0,7.4,6.1,6.9,7.5
183,03M541,Manhattan / Hunter Science High School,96.0,427.0,447.0,7.3,6.5,6.9,7.6
184,03M577,Brandeis Yabc,48.0,19.0,40.0,7.5,6.1,7.2,7.6
185,03M859,Special Music School,98.0,39.0,40.0,8.6,7.4,8.0,8.3
186,03M860,Frederick Douglass Academy II Secondary School,88.0,343.0,388.0,5.8,5.8,5.9,7.0
187,03M862,Mott Hall II,97.0,283.0,291.0,7.5,6.6,7.6,8.2
188,04M007,P.S. 007 Samuel Stern,98.0,126.0,129.0,7.1,6.1,7.2,7.8
189,04M012,Tag Young Scholars,100.0,149.0,149.0,7.9,7.6,8.4,8.7
190,04M013,J.H.S. 013 Jackie Robinson,63.0,160.0,252.0,5.8,5.5,6.3,7.1
191,04M037,River East Elementary,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
192,04M038,P.S. 38 Roberto Clemente,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
193,04M045,M.S. 45/S.T.A.R.S. Prep Academy,92.0,271.0,293.0,6.4,6.3,6.7,7.8
194,04M050,P.S. 050 Vito Marcantonio,86.0,117.0,136.0,5.8,6.1,6.5,7.4
195,04M057,James Weldon Johnson,98.0,130.0,132.0,7.6,6.7,7.9,8.5
196,04M072,The Lexington Academy,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
197,04M083,P.S. 083 Luis Munoz Rivera,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
198,04M096,P.S. 096 Joseph Lanzetta,94.0,165.0,175.0,6.5,5.9,7.0,7.5
199,04M102,P.S. 102 Jacques Cartier,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
200,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,96.0,281.0,293.0,7.6,6.8,7.7,8.5
201,04M112,P.S. 112 Jose Celso Barbosa,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
202,04M146,P.S. 146 Ann M. Short,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
203,04M155,P.S. 155 William Paca,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
204,04M171,P.S. 171 Patrick Henry,98.0,234.0,238.0,7.8,7.4,8.1,8.7
205,04M182,The Bilingual Bicultural School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
206,04M206,P.S. 206 Jose Celso Barbosa,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
207,04M224,M.S. 224 Manhattan East School for Arts & Academic,88.0,217.0,248.0,7.1,6.9,7.7,8.1
208,04M372,ESPERANZA PREPARATORY ACADEMY,97.0,259.0,268.0,7.8,7.7,8.2,8.4
209,04M375,Mosaic Preparatory Academy,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
210,04M377,Renaissance School of the Arts,88.0,168.0,192.0,6.1,6.1,6.9,7.5
211,04M381,Global Neighborhood Secondary School,97.0,182.0,188.0,6.5,6.4,7.0,7.7
212,04M406,GLOBAL TECHNOLOGY PREPARATORY,93.0,109.0,117.0,7.6,7.4,8.5,8.8
213,04M409,Coalition School for Social Change,87.0,321.0,368.0,6.6,6.1,6.6,7.2
214,04M435,Manhattan Center for Science and Mathematics,92.0,1546.0,1685.0,6.6,5.5,6.5,7.2
215,04M495,Park East High School,85.0,303.0,355.0,7.0,6.3,6.9,7.6
216,04M497,Central Park East I,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
217,04M555,Central Park East High School,87.0,342.0,394.0,6.6,5.8,6.0,7.4
218,04M610,Young Women's Leadership School,85.0,380.0,447.0,7.5,6.6,7.2,8.3
219,04M635,Academy of Environmental Science Secondary High Sc,94.0,235.0,250.0,6.4,5.9,6.3,6.9
220,04M680,"Heritage School, The",92.0,262.0,286.0,6.4,5.9,6.4,7.0
221,04M825,Isaac Newton Middle School for Math & Science,93.0,332.0,357.0,6.7,6.7,7.2,8.0
222,04M964,Central Park East II,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
223,05M030,P.S. 030 Hernandez/Hughes,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
224,05M036,P.S. 036 Margaret Douglas,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
225,05M046,P.S. 046 Arthur Tappan,96.0,135.0,140.0,7.2,6.6,7.6,8.0
226,05M092,P.S. 092 Mary McLeod Bethune,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
227,05M123,P.S. 123 Mahalia Jackson,76.0,136.0,179.0,5.6,4.9,6.1,7.2
228,05M125,P.S. 125 Ralph Bunche,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
229,05M129,P.S. 129 John H. Finley,82.0,160.0,196.0,6.6,6.6,7.8,8.2
230,05M133,P.S. 133 Fred R Moore,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
231,05M154,P.S. 154 Harriet Tubman,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
232,05M161,P.S. 161 Pedro Albizu Campos,97.0,260.0,269.0,7.0,6.5,7.7,8.3
233,05M175,P.S. 175 Henry H Garnet,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
234,05M194,P.S. 194 Countee Cullen,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
235,05M195,I.S. 195 Roberto Clemente,73.0,282.0,387.0,6.3,5.8,6.8,7.4
236,05M197,P.S. 197 John B. Russwurm,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
237,05M200,P.S. 200- The James Mccune Smith School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
238,05M285,Harlem Renaissance High School,68.0,117.0,171.0,7.0,6.2,6.9,7.5
239,05M286,I.S. M286 Renaissance Military Leadership Academy,88.0,220.0,251.0,8.4,8.0,8.7,8.8
240,05M302,KAPPA IV,97.0,202.0,208.0,6.2,6.4,6.6,7.6
241,05M304,Mott Hall High School,99.0,377.0,380.0,6.2,6.0,6.2,7.2
242,05M317,Kappa II,75.0,38.0,51.0,6.2,6.0,6.4,7.2
243,05M318,Thurgood Marshall Academy Lower School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
244,05M344,Academy of Collaborative Education,88.0,93.0,106.0,6.1,6.1,6.7,7.5
245,05M362,Columbia Secondary School,91.0,343.0,377.0,6.9,6.8,7.0,7.4
246,05M367,Academy for Social Action: A College Board School,71.0,285.0,402.0,5.7,5.6,6.1,6.9
247,05M369,Urban Assembly School for the Performing Arts,87.0,281.0,323.0,5.2,5.2,5.5,6.4
248,05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,90.0,101.0,112.0,6.8,6.7,7.0,7.8
249,05M469,Choir Academy of Harlem,95.0,313.0,330.0,6.0,5.8,6.4,7.0
250,05M499,Frederick Douglass Academy,71.0,1049.0,1486.0,5.7,5.3,6.3,7.3
251,05M670,Thurgood Marshall Academy for Learning and Social,72.0,405.0,562.0,6.7,6.4,6.7,7.6
252,05M685,Bread & Roses Integrated Arts High School,74.0,346.0,465.0,5.5,5.2,5.5,6.6
253,05M692,"High School for Mathematics, Science and Engineeri",89.0,357.0,402.0,7.8,6.7,7.2,8.2
254,06M004,P.S. 004 Duke Ellington,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
255,06M005,P.S. 005 Ellen Lurie,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
256,06M008,P.S. 008 Luis Belliard,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
257,06M018,P.S. 018 Park Terrace,81.0,127.0,157.0,7.5,6.7,7.6,7.9
258,06M028,P.S. 028 Wright Brothers,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
259,06M048,P.S. 048 P.O. Michael J. Buczek,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
260,06M052,J.H.S. 052 Inwood,98.0,704.0,717.0,7.0,6.1,7.0,7.6
261,06M098,P.S. 098 Shorac Kappock,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
262,06M115,P.S. 115 Alexander Humboldt,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
263,06M128,P.S. 128 Audubon,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
264,06M132,P.S. 132 Juan Pablo Duarte,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
265,06M143,J.H.S. 143 Eleanor Roosevelt,97.0,649.0,668.0,6.7,6.2,7.1,7.8
266,06M152,P.S. 152 Dyckman Valley,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
267,06M153,P.S. 153 Adam Clayton Powell,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
268,06M173,P.S. 173,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
269,06M178,Professor Juan Bosch Public School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
270,06M187,P.S./I.S. 187 Hudson Cliffs,98.0,254.0,259.0,7.1,6.6,7.2,7.8
271,06M189,P.S. 189,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
272,06M192,P.S. 192 Jacob H. Schiff,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
273,06M210,P.S./I.S. 210 - Twenty-first Century Academy for,99.0,142.0,143.0,7.6,6.4,7.7,8.1
274,06M218,I.S. 218 Salome Urena,88.0,311.0,355.0,7.0,6.4,7.0,7.6
275,06M223,The Mott Hall School,99.0,373.0,377.0,7.1,5.9,6.9,8.1
276,06M278,Paula Hedbavny School,100.0,192.0,192.0,7.5,6.4,7.8,8.5
277,06M293,City College Academy of the Arts,87.0,441.0,507.0,7.8,6.9,7.7,8.3
278,06M311,Amistad Dual Language School,100.0,128.0,128.0,7.2,6.1,7.1,7.6
279,06M314,Muscota,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
280,06M319,M.S. 319 - Maria Teresa,96.0,536.0,556.0,7.8,7.5,7.9,8.4
281,06M321,M.S. 321 - Minerva,99.0,89.0,90.0,9.3,8.0,9.2,9.4
282,06M322,Middle School 322,86.0,410.0,475.0,6.7,6.3,6.8,7.6
283,06M324,M.S. 324 - Patria Mirabal,99.0,409.0,413.0,7.7,6.7,7.7,8.0
284,06M325,P.S. 325,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
285,06M326,M.S. 326 - Writers Today & Leaders Tomorrow,95.0,343.0,362.0,7.3,7.2,7.9,8.4
286,06M328,M.S. 328 - Manhattan Middle School for Scientific,92.0,409.0,445.0,8.7,8.0,8.9,9.0
287,06M346,Community Health Academy of the Heights,94.0,426.0,452.0,6.4,6.0,6.5,7.3
288,06M348,Washington Heights Expeditionary Learning School,94.0,487.0,520.0,7.5,6.9,7.1,8.2
289,06M349,Harbor Heights,99.0,157.0,159.0,8.1,7.2,8.3,8.6
290,06M366,Washington Heights Academy,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
291,06M368,Hamilton Heights School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
292,06M423,High School for Excellence and Innovation,90.0,114.0,126.0,7.6,6.2,6.5,7.6
293,06M457,George Washington Yabc,63.0,132.0,210.0,8.5,7.0,8.0,8.5
294,06M462,High School for International Business and Finance,81.0,482.0,597.0,7.1,6.3,6.8,7.2
295,06M463,High School for Media and Communications,84.0,446.0,534.0,6.4,5.7,6.2,7.2
296,06M467,High School for Law and Public Service,74.0,451.0,612.0,6.5,6.0,6.6,7.4
297,06M468,High School for Health Careers and Sciences,92.0,625.0,679.0,6.4,5.8,6.5,7.2
298,06M528,I.S. 528 Bea Fuller Rodgers School,95.0,252.0,266.0,6.9,6.3,7.2,7.6
299,06M540,A. Philip Randolph Campus High School,66.0,945.0,1424.0,6.1,5.5,6.1,7.0
300,06M552,Gregorio Luperon High School for Science and Mathe,88.0,406.0,461.0,7.7,6.2,7.0,7.7
301,07X001,P.S. 001 Courtlandt School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
302,07X005,P.S. 005 Port Morris,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
303,07X018,P.S. 018 John Peter Zenger,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
304,07X025,P.S. 025 Bilingual School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
305,07X029,P.S./M.S. 029 Melrose School,96.0,240.0,250.0,6.3,6.2,6.9,7.4
306,07X030,P.S. 030 Wilton,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
307,07X031,P.S./M.S. 031 The William Lloyd Garrison,96.0,220.0,230.0,6.3,6.2,6.9,7.5
308,07X043,P.S. 043 Jonas Bronck,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
309,07X049,P.S. 049 Willis Avenue,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
310,07X065,P.S. 065 Mother Hale Academy,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
311,07X151,J.H.S. 151 Lou Gehrig,74.0,206.0,278.0,6.7,6.2,7.1,7.8
312,07X154,P.S. 154 Jonathan D. Hyatt,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
313,07X157,P.S. 157 Grove Hill,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
314,07X161,P.S. 161 Ponce De Leon,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
315,07X162,J.H.S. 162 Lola Rodriguez De Tio,82.0,587.0,715.0,5.9,6.2,6.5,7.3
316,07X179,P.S. 179,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
317,07X203,M.S. 203,78.0,221.0,283.0,6.1,5.7,6.7,7.3
318,07X221,South Bronx Preparatory: A College Board School,82.0,472.0,579.0,7.1,6.7,6.8,7.8
319,07X223,M.S. 223 The Laboratory School of Finance and Tech,93.0,447.0,482.0,7.3,6.7,7.6,8.2
320,07X224,P.S. / I.S. 224,84.0,318.0,377.0,4.9,5.4,5.4,6.7
321,07X277,P.S. 277,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
322,07X296,South Bronx Academy for Applied Media,97.0,262.0,269.0,6.2,6.3,7.1,7.9
323,07X298,Academy of Public Relations,99.0,238.0,240.0,7.1,6.4,7.2,7.9
324,07X321,Crotona Academy High School,81.0,91.0,113.0,8.4,7.9,8.2,8.6
325,07X334,International Community High School,87.0,308.0,354.0,7.3,6.5,7.0,7.5
326,07X343,Academy of Applied Mathematics and Technology,94.0,222.0,235.0,7.7,7.1,7.7,8.1
327,07X369,Young Leaders Elementary School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
328,07X379,Jill Chaifetz Transfer High School,61.0,115.0,189.0,7.1,6.7,7.1,7.6
329,07X381,Bronx Haven High School,74.0,89.0,120.0,7.7,6.8,7.9,8.3
330,07X385,Performance School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
331,07X427,Community School for Social Justice,95.0,299.0,315.0,7.2,6.7,6.8,7.5
332,07X473,Mott Haven Village Preparatory High School,93.0,319.0,344.0,6.9,5.9,6.7,7.7
333,07X495,University Heights Secondary School,91.0,393.0,431.0,7.2,6.0,6.5,7.4
334,07X500,Hostos-Lincoln Academy of Science,83.0,492.0,591.0,6.8,5.9,6.6,7.6
335,07X520,Foreign Language Academy of Global Studies,95.0,343.0,361.0,6.0,5.7,5.7,6.8
336,07X527,Bronx Leadership Academy II High School,25.0,109.0,439.0,6.7,6.2,6.8,7.6
337,07X547,New Explorers High School,95.0,332.0,349.0,7.7,7.6,7.7,7.7
338,07X548,Urban Assembly School for Careers in Sports,75.0,313.0,420.0,7.2,6.0,6.8,7.7
339,07X551,Bronx Academy of Letters,72.0,399.0,554.0,6.3,6.2,6.9,7.7
340,07X600,Alfred E. Smith Career and Technical Education Hig,77.0,683.0,890.0,5.7,5.5,5.8,6.6
341,07X655,Samuel Gompers Career and Technical Education High,61.0,468.0,762.0,6.0,5.7,6.2,6.9
342,07X670,Health Opportunities High School,77.0,429.0,557.0,6.3,5.5,6.3,7.3
343,08X014,P.S. X014 Senator John Calandra,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
344,08X036,P.S. 036 Unionport,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
345,08X048,P.S. 048 Joseph R. Drake,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
346,08X062,P.S. 062 Inocensio Casanova,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
347,08X069,P.S. 069 The New Vision School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
348,08X071,P.S. 071 Rose E. Scala,3.0,13.0,454.0,7.1,6.6,7.6,7.9
349,08X072,P.S. 072 Dr. William Dorney,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
350,08X075,P.S. 075,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
351,08X093,P.S. 093 Albert G. Oliver,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
352,08X100,P.S. 100 Isaac Clason,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
353,08X101,M.S. X101 Edward R. Byrne,99.0,448.0,453.0,7.1,6.7,7.3,8.0
354,08X107,P.S. 107,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
355,08X119,P.S. 119,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
356,08X123,J.H.S. 123 James M. Kieran,94.0,478.0,506.0,6.0,6.1,6.7,7.5
357,08X125,J.H.S. 125 Henry Hudson,85.0,554.0,649.0,5.9,5.9,6.4,7.3
358,08X130,P.S. 130 Abram Stevens Hewitt,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
359,08X131,J.H.S. 131 Albert Einstein,96.0,813.0,850.0,5.8,5.9,6.3,7.2
360,08X138,P.S. 138 Samuel Randall,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
361,08X140,P.S. X140 The Eagle School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
362,08X146,P.S. 146 Edward Collins,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
363,08X152,P.S. 152 Evergreen,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
364,08X182,P.S. 182,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
365,08X269,Bronx Studio School for Writers and Artists,0.0,-1.0,381.0,-1.0,-1.0,-1.0,-1.0
366,08X282,Women's Academy of Excellence,87.0,265.0,305.0,6.3,5.4,5.6,6.9
367,08X293,Renaissance High School for Musical Theater & Tech,90.0,390.0,431.0,6.9,5.9,6.9,7.4
368,08X295,Gateway School for Environmental Research and Tech,61.0,277.0,452.0,5.6,5.6,6.0,6.9
369,08X301,M.S. 301 Paul L. Dunbar,75.0,252.0,334.0,5.7,5.1,6.2,7.1
370,08X302,M.S. 302 Luisa Dessus Cruz,94.0,677.0,721.0,7.3,7.1,8.0,8.5
371,08X304,P.S. 304 Early Childhood School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
372,08X305,Pablo Neruda Academy for Architecture and World St,79.0,259.0,328.0,6.3,6.0,6.1,7.0
373,08X312,Millennium Art Academy,83.0,389.0,469.0,6.4,5.7,6.4,7.3
374,08X332,Holcombe L. Rucker School of Community Research,59.0,174.0,297.0,6.8,6.4,7.0,7.5
375,08X333,P.S. 333 - The Museum School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
376,08X335,The Academy of the Arts,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
377,08X337,The School for Inquiry and Social Justice,74.0,189.0,256.0,6.3,6.5,7.0,7.9
378,08X366,Urban Assembly Academy of Civic Engagement,70.0,239.0,342.0,6.3,6.3,6.4,7.3
379,08X367,"Archimedes Academy for Math, Science and Technolog",75.0,292.0,390.0,5.7,5.7,6.4,7.0
380,08X371,Urban Institute of Mathematics,98.0,330.0,338.0,6.8,6.7,7.3,8.0
381,08X375,The Bronx Mathematics Preparatory School,88.0,357.0,407.0,5.6,6.0,6.2,7.1
382,08X376,"Antonia Pantoja Preparatory Academy, A College Boa",70.0,252.0,362.0,5.6,5.9,6.2,7.0
383,08X377,Bronx Community High School,71.0,110.0,154.0,7.7,7.2,7.7,8.2
384,08X405,Herbert H. Lehman High School,58.0,2099.0,3622.0,5.5,5.6,6.2,6.8
385,08X408,Herbert H. Lehman Yabc,55.0,96.0,174.0,8.1,7.0,8.1,8.2
386,08X424,The Hunts Point School,91.0,356.0,391.0,6.3,5.8,7.0,7.3
387,08X432,BRONX BRIDGES HIGH SCHOOL,99.0,76.0,77.0,6.9,6.3,6.6,7.1
388,08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,86.0,177.0,207.0,6.2,6.5,6.7,7.5
389,08X452,Bronx Guild,66.0,200.0,302.0,7.1,6.2,6.8,7.5
390,08X467,MOTT HALL COMMUNITY SCHOOL,98.0,160.0,163.0,6.3,6.6,6.7,7.4
391,08X507,Stevenson Yabc,56.0,93.0,166.0,8.3,6.6,7.7,8.1
392,08X519,Felisa Rincon de Gautier Institute for Law and Pub,54.0,184.0,342.0,5.7,5.7,5.8,6.7
393,08X530,Banana Kelly High School,85.0,372.0,438.0,7.0,6.5,7.0,7.5
394,08X540,School for Community Research and Learning,61.0,170.0,277.0,6.4,5.5,6.0,6.6
395,08X560,High School X560 - Bronx Academy High School,63.0,142.0,227.0,8.2,7.3,8.2,8.6
