,DBN,School Name,Student Response Rate,Number of student respondents,Number of eligible students,Safety and respect score,Communication score,Engagement score,Academic expectation score
1573,84M329,Harlem Link Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1574,84M330,Girls Preparatory Charter School of New York,96.0,47.0,49.0,7.1,6.1,6.4,7.5
1575,84M335,Harlem Village Academy Leadership Charter School,92.0,229.0,249.0,8.1,7.2,8.0,8.4
1576,84M336,KIPP Infinity Charter School,62.0,200.0,325.0,7.3,5.9,6.8,8.0
1577,84M337,New York City Center for Autism Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1578,84M341,Harlem Children's Zone/Promise Academy II,82.0,32.0,39.0,6.5,7.0,7.3,8.3
1579,84M350,Democracy Preparatory Charter School,88.0,409.0,467.0,6.8,6.0,7.0,7.8
1580,84M351,Harlem Success Academy 1 Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1581,84M353,New Heights Academy Charter School,88.0,579.0,658.0,6.2,6.1,6.5,7.5
1582,84M355,Ross Global Academy Charter School,96.0,133.0,138.0,6.3,6.4,7.2,7.4
1583,84M382,DREAM Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1584,84M384,Harlem Success Academy 2 Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1585,84M385,Harlem Success Academy 3 Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1586,84M386,Harlem Success Academy 4 Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1587,84M388,St. HOPE Leadership Academy Charter School,97.0,184.0,189.0,5.9,6.0,6.1,7.4
1588,84M430,The Equity Project Charter School (TEP),100.0,122.0,122.0,7.4,7.3,7.9,8.5
1589,84M433,Renaissance Charter High School for Innovation,98.0,128.0,131.0,7.2,6.9,6.9,7.8
1590,84M478,Inwood Academy for Leadership Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1591,84M481,Democracy Preparatory Harlem Charter School,86.0,93.0,108.0,7.1,6.6,7.3,8.2
1592,84M482,Harlem Success Academy Charter School 5,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1593,84M483,New York French American Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1594,84M702,Sisulu-Walker Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1595,84M704,Harbor Sciences and Arts Charter School,94.0,89.0,95.0,7.0,6.4,7.3,8.0
1596,84M705,Amber Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1597,84M707,John V. Lindsay Wildcat Academy Charter School,61.0,267.0,438.0,7.6,6.7,7.1,7.5
