CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
393517819,01/01/2016,01:00:00,01/01/2016,02:00:00,19,01/03/2016,109,GRAND LARCENY,419,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,998442,220387,,,,,40.771584595,-73.948763653,"(40.771584595, -73.948763653)",PATROL BORO MAN NORTH,,25-44,UNKNOWN,M
997370252,01/01/2016,21:20:00,01/01/2016,21:30:00,123,01/01/2016,117,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,STATEN ISLAND,,HIGHWAY/PARKWAY,N.Y. POLICE DEPT,0,,,NA,925586,132351,25-44,WHITE,M,,40.529762465,-74.211031718,"(40.529762465, -74.211031718)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E
376956464,01/01/2016,03:00:00,01/01/2016,15:00:00,75,01/01/2016,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,CYPRESS HILLS,346,1020051,182448,,,,,40.667390177,-73.870949908,"(40.667390177, -73.870949908)",PATROL BORO BKLYN NORTH,,18-24,BLACK,F
264480917,01/01/2016,19:00:00,01/01/2016,19:05:00,67,01/01/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1002785,176376,18-24,BLACK,F,,40.650776855,-73.933205153,"(40.650776855, -73.933205153)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,F
149490188,01/01/2016,00:20:00,01/01/2016,00:25:00,78,01/01/2016,355,OFFENSES AGAINST THE PERSON,115,RECKLESS ENDANGERMENT 2,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,295,988941,187674,UNKNOWN,UNKNOWN,U,,40.681805511,-73.98308819,"(40.681805511, -73.98308819)",PATROL BORO BKLYN SOUTH,,45-64,WHITE HISPANIC,F
931622176,01/01/2016,00:55:00,01/01/2016,00:58:00,60,01/01/2016,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,235,987061,148773,18-24,BLACK,F,,40.575031251,-73.989882667,"(40.575031251, -73.989882667)",PATROL BORO BKLYN SOUTH,,45-64,BLACK,F
361870957,01/01/2016,05:19:00,,,46,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1007684,248284,UNKNOWN,UNKNOWN,U,,40.848134427,-73.915299621,"(40.848134427, -73.915299621)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,M
772884984,01/01/2016,06:10:00,01/01/2016,06:10:00,107,01/01/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1041442,200938,UNKNOWN,BLACK,M,,40.718028484,-73.793685219,"(40.718028484, -73.793685219)",PATROL BORO QUEENS SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,M
391272007,01/01/2016,00:01:00,05/05/2016,12:00:00,61,05/05/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,,NA,996449,154998,,,,,40.592109696,-73.956077404,"(40.592109696, -73.956077404)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,E
890552601,01/01/2016,00:01:00,07/12/2016,20:50:00,75,07/12/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,GROCERY/BODEGA,N.Y. POLICE DEPT,0,,,NA,1013669,186197,,,,,40.677703841,-73.893938658,"(40.677703841, -73.893938658)",PATROL BORO BKLYN NORTH,,UNKNOWN,UNKNOWN,D
